Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	rel_branch_lengths[1]	rel_branch_lengths[2]	rel_branch_lengths[3]	rel_branch_lengths[4]	rel_branch_lengths[5]	rel_branch_lengths[6]	rel_branch_lengths[7]	rel_branch_lengths[8]	rel_branch_lengths[9]	rel_branch_lengths[10]	rel_branch_lengths[11]	rel_branch_lengths[12]	rel_branch_lengths[13]	rel_branch_lengths[14]	rel_branch_lengths[15]	rel_branch_lengths[16]	rel_branch_lengths[17]	rel_branch_lengths[18]	rel_branch_lengths[19]	rel_branch_lengths[20]	rel_branch_lengths[21]	rel_branch_lengths[22]	rel_branch_lengths[23]	rel_branch_lengths[24]	rel_branch_lengths[25]	rel_branch_lengths[26]	rel_branch_lengths[27]	rel_branch_lengths[28]	rel_branch_lengths[29]	rel_branch_lengths[30]	rel_branch_lengths[31]	rel_branch_lengths[32]	rel_branch_lengths[33]	rel_branch_lengths[34]	rel_branch_lengths[35]	rel_branch_lengths[36]	rel_branch_lengths[37]	rel_branch_lengths[38]	rel_branch_lengths[39]	rel_branch_lengths[40]	rel_branch_lengths[41]	rel_branch_lengths[42]	rel_branch_lengths[43]	TL
0	-31484.6	-31553.8	69.2181	0.00521397	0.00635712	0.00534892	0.0206423	0.0723949	0.0024848	0.0109666	0.0255368	0.0206173	0.0189887	0.0190118	0.014533	0.0232749	0.0137456	0.0529233	0.0422475	0.000753837	0.00136372	0.0454992	0.0567097	0.0232355	0.0164394	0.020162	0.00124341	0.0363266	0.0336682	0.0153761	0.0216843	0.00929236	0.0528493	0.00269174	0.0699898	0.00264001	0.00454056	0.0234401	0.0132047	0.00765137	0.0123754	0.0116545	0.00602982	0.00512211	0.0680562	0.0106381	0.103734	0.0297723	0.285403	0.430634	8.69135e-05	0.150369	0.408502	0.0534888	0.477039	0.0609704	0.00562501	0.00685829	0.0057706	0.0222696	0.0781022	0.00268069	0.0118311	0.02755	0.0222427	0.0204857	0.0205106	0.0156787	0.0251098	0.0148293	0.0570955	0.0455782	0.000813267	0.00147123	0.0490861	0.0611804	0.0250673	0.0177354	0.0217515	0.00134144	0.0391904	0.0363225	0.0165882	0.0233938	0.0100249	0.0570157	0.00290394	0.0755075	0.00284814	0.00489852	0.0252881	0.0142457	0.00825457	0.013351	0.0125733	0.00650518	0.00552591	0.0734214	0.0114767	0.9269252
10	-20203.7	-20270.6	66.9502	0.0557245	0.0624994	0.0678344	0.056325	0.0566435	0.0627397	0.0594767	0.0704847	0.0671022	0.0648942	0.0376421	0.0485976	0.043821	0.0380882	0.0372565	0.0553688	0.0340402	0.0631573	0.053824	0.0364545	0.0651504	0.0567724	0.0750793	0.0093619	0.0195456	0.0169162	0.0234685	0.0170488	0.026395	0.0275803	0.0074844	0.0223756	0.0275138	0.0173944	0.0235403	0.0191166	0.0241993	0.01011	0.0140044	0.00620038	0.0147947	0.0148199	0.0250536	0.2539	0.00579948	0.53931	0.025414	0.0248624	0.150713	0.183162	0.445519	0.245152	0.126166	0.0340635	0.0382049	0.0414661	0.0344306	0.0346253	0.0383518	0.0363571	0.0430862	0.0410185	0.0396688	0.02301	0.0297069	0.0267871	0.0232827	0.0227743	0.0338461	0.0208082	0.0386071	0.0329018	0.0222841	0.0398254	0.0347041	0.0458948	0.00572278	0.0119479	0.0103406	0.0143459	0.0104217	0.0161349	0.0168594	0.00457509	0.0136779	0.0168187	0.0106329	0.0143898	0.0116857	0.0147927	0.00618009	0.00856064	0.0037902	0.00904378	0.0090592	0.0153149	1.6359
20	-16026.1	-16092.8	66.7455	0.0575719	0.0645714	0.0511395	0.0581923	0.0565863	0.0439041	0.0747085	0.033795	0.0574385	0.0988152	0.0417936	0.0465233	0.0423933	0.0393509	0.0384916	0.0572044	0.0652923	0.068262	0.0747525	0.0406513	0.0449964	0.051529	0.0961255	0.0138886	0.0202734	0.0281929	0.0242465	0.00889014	0.0112694	0.0178676	0.0126004	0.0231174	0.0235869	0.019103	0.0153237	0.0175792	0.0319171	0.00910143	0.0237373	0.0482704	0.0179376	0.00689532	0.0182374	0.218421	0.153505	0.427408	0.0621832	0.138473	1.02953e-05	0.0905393	0.267327	0.268921	0.373212	0.0339432	0.03807	0.0301508	0.034309	0.0333621	0.0258849	0.0440466	0.0199248	0.0338645	0.0582594	0.0246407	0.0274292	0.0249942	0.0232005	0.0226939	0.0337265	0.038495	0.0402459	0.0440726	0.0239672	0.026529	0.0303804	0.0566736	0.00818841	0.0119528	0.0166219	0.0142952	0.00524144	0.00664423	0.0105343	0.00742892	0.0136296	0.0139064	0.0112628	0.00903453	0.0103643	0.0188176	0.00536602	0.013995	0.0284592	0.0105756	0.00406534	0.0107524	1.696125
30	-14702.2	-14766.2	64.0089	0.0918613	0.0757094	0.0912018	0.0723266	0.0843956	0.0557833	0.10276	0.0443679	0.090015	0.128677	0.0594489	0.0602978	0.0790527	0.079438	0.0887453	0.0969858	0.0943585	0.0984474	0.0949812	0.0676164	0.083305	0.0609219	0.138918	0.0198577	0.0292985	0.0174681	0.0217516	0.0198086	0.0153706	0.0287095	0.0197442	0.0229012	0.0409555	0.0357289	0.0229379	0.0318787	0.0296912	0.0182666	0.0255553	0.0641145	0.0136729	0.0172212	0.0401614	0.203968	0.110277	0.109977	0.0132259	0.562546	6.68332e-06	0.193146	0.193022	0.372593	0.241238	0.03712	0.0305933	0.0368535	0.0292263	0.0341032	0.0225414	0.041524	0.0179286	0.036374	0.0519969	0.0240226	0.0243656	0.0319442	0.0321	0.0358609	0.0391908	0.0381292	0.0397814	0.0383808	0.027323	0.0336626	0.0246178	0.056135	0.00802426	0.0118392	0.00705864	0.00878954	0.00800441	0.00621106	0.0116011	0.00797839	0.0092541	0.0165496	0.0144376	0.00926892	0.0128818	0.0119979	0.00738131	0.0103266	0.0259079	0.00552507	0.00695887	0.0162287	2.474708
40	-14631.2	-14695	63.7239	0.116049	0.0756959	0.0945011	0.0679292	0.0874487	0.0741168	0.106477	0.0487617	0.089417	0.131859	0.0615996	0.0635862	0.0732393	0.0823118	0.0886639	0.106757	0.0999841	0.0708426	0.0984173	0.0564841	0.0652653	0.0651997	0.120156	0.0227131	0.0153019	0.0221663	0.0446082	0.0153968	0.0201485	0.0424064	0.022169	0.0376445	0.0424371	0.0338438	0.0327853	0.0187025	0.0331478	0.0233283	0.038158	0.0676777	0.0233136	0.00920468	0.0439227	0.198637	0.129423	0.107103	0.0169696	0.547844	2.36343e-05	0.232791	0.232642	0.243813	0.290754	0.0454409	0.0296401	0.0370036	0.0265989	0.0342421	0.0290217	0.0416931	0.0190935	0.0350128	0.0516317	0.0241204	0.0248983	0.0286781	0.0322306	0.0347179	0.0418025	0.0391505	0.0277397	0.038537	0.0221173	0.0255558	0.0255301	0.0470492	0.0088937	0.00599174	0.00867959	0.0174671	0.00602889	0.00788949	0.016605	0.00868067	0.0147404	0.016617	0.0132521	0.0128377	0.00732329	0.0129796	0.00913462	0.0149414	0.0265004	0.00912883	0.00360425	0.0171987	2.553838
50	-14526.4	-14589.7	63.2776	0.119972	0.0824595	0.089885	0.0728342	0.0889664	0.0740758	0.101851	0.0469841	0.0924399	0.136317	0.0636821	0.0792173	0.0772922	0.0817107	0.0919068	0.119714	0.134615	0.0904848	0.101744	0.0583936	0.0598276	0.0745743	0.140818	0.0323437	0.0273547	0.0309747	0.0377024	0.0210964	0.0280006	0.0281704	0.0200641	0.0309524	0.0292097	0.034988	0.0254669	0.0193348	0.0347985	0.0209843	0.0381978	0.0659877	0.0241017	0.0163814	0.0313158	0.188155	0.230183	0.0868884	0.016089	0.478619	6.52674e-05	0.252432	0.213445	0.204915	0.329209	0.0448127	0.0308007	0.0335744	0.0272054	0.0332312	0.0276692	0.038044	0.0175498	0.0345287	0.0509178	0.0237869	0.0295897	0.0288706	0.030521	0.0343296	0.0447164	0.0502821	0.0337984	0.0380042	0.0218115	0.0223471	0.0278554	0.052599	0.0120812	0.0102177	0.0115699	0.0140828	0.00788006	0.010459	0.0105224	0.00749446	0.0115615	0.0109106	0.0130689	0.00951254	0.00722203	0.0129981	0.00783819	0.0142679	0.0246481	0.00900261	0.00611887	0.0116972	2.677191
60	-14510.3	-14573.5	63.2401	0.115877	0.0895326	0.0994113	0.0725799	0.0965976	0.0717959	0.110588	0.0510142	0.0841724	0.14801	0.0884411	0.0579478	0.0871812	0.0924165	0.110232	0.129983	0.0897516	0.0769447	0.106504	0.0589558	0.0716169	0.0809711	0.123122	0.0272976	0.0179594	0.0214113	0.0404697	0.022906	0.0208841	0.0452729	0.0245798	0.0336074	0.0223569	0.02892	0.0227857	0.00834085	0.0289396	0.0325089	0.0367855	0.0667878	0.0210531	0.018999	0.0320181	0.224821	0.275039	0.0654416	0.0231814	0.409306	0.0022123	0.252432	0.213445	0.204915	0.329209	0.0431165	0.0333141	0.0369899	0.0270062	0.0359429	0.0267145	0.0411484	0.0189818	0.0313196	0.0550727	0.032908	0.0215617	0.0324391	0.0343872	0.041016	0.0483653	0.0333956	0.0286303	0.0396291	0.0219368	0.0266479	0.0301285	0.0458123	0.0101571	0.0066825	0.00796689	0.0150583	0.00852308	0.00777076	0.0168456	0.00914588	0.0125049	0.00831874	0.0107608	0.0084783	0.00310354	0.0107681	0.0120962	0.0136875	0.024851	0.00783362	0.00706931	0.0119136	2.687529
70	-14476.5	-14538.1	61.5958	0.12585	0.105295	0.106157	0.109098	0.105905	0.0648493	0.118037	0.0585525	0.11684	0.201266	0.0764098	0.071567	0.107671	0.114137	0.117222	0.155748	0.126645	0.0950288	0.131872	0.072812	0.0884488	0.0782394	0.147268	0.0448701	0.0164239	0.0223118	0.0499811	0.0206268	0.0219687	0.0559132	0.0153519	0.0305301	0.0139355	0.0500864	0.0229657	0.012552	0.0357411	0.033349	0.0436905	0.0740398	0.0196469	0.0188602	0.0395431	0.213812	0.251642	0.0622372	0.0133915	0.442613	0.0163046	0.256789	0.217129	0.19119	0.334891	0.0401139	0.0335622	0.033837	0.0347743	0.0337568	0.0206704	0.0376238	0.0186633	0.0372422	0.0641524	0.0243552	0.0228116	0.0343196	0.0363805	0.0373638	0.0496439	0.0403675	0.0302899	0.0420336	0.0232085	0.0281926	0.0249384	0.0469408	0.0143021	0.00523502	0.00711176	0.0159312	0.00657468	0.0070024	0.0178221	0.00489335	0.0097313	0.00444185	0.0159648	0.0073202	0.00400089	0.0113923	0.0106298	0.0139261	0.0235998	0.00626233	0.0060116	0.0126042	3.137306
80	-14467.3	-14528.9	61.5958	0.113223	0.108473	0.10293	0.0854502	0.0979817	0.0740414	0.114449	0.08151	0.0896643	0.188886	0.0740872	0.0682811	0.11524	0.107137	0.114664	0.151014	0.105337	0.0921402	0.127864	0.0892128	0.0981915	0.10025	0.170588	0.030614	0.00827252	0.0254587	0.0462852	0.022354	0.0264377	0.0406271	0.0107985	0.0322679	0.0268608	0.0412848	0.0207524	0.028178	0.0417313	0.0317125	0.0423624	0.103058	0.0338725	0.0194491	0.0343135	0.211106	0.244158	0.0603865	0.0273137	0.441216	0.0158197	0.259355	0.223523	0.172368	0.344753	0.0360891	0.0345751	0.0328084	0.0272368	0.0312311	0.0236003	0.0364801	0.0259809	0.02858	0.0602064	0.0236149	0.0217643	0.0367322	0.0341492	0.0365485	0.0481349	0.0335755	0.0293692	0.0407559	0.0284361	0.031298	0.0319542	0.0543741	0.00975805	0.00263682	0.00811483	0.0147532	0.00712523	0.00842688	0.0129497	0.00344196	0.0102852	0.00856173	0.0131593	0.00661472	0.00898158	0.0133016	0.0101082	0.0135028	0.0328494	0.0107967	0.00619932	0.0109372	3.137306
90	-14466.5	-14528.4	61.849	0.105954	0.0972023	0.0942193	0.111018	0.0922045	0.0486981	0.111099	0.0682993	0.0910368	0.199062	0.0975628	0.0838677	0.113899	0.0954241	0.105747	0.14211	0.134272	0.10911	0.120325	0.0839527	0.0867844	0.0867809	0.153535	0.0392134	0.015465	0.0239576	0.0436653	0.0145346	0.0248789	0.0330895	0.0114104	0.0445344	0.0288027	0.0449318	0.0344636	0.0109975	0.0392708	0.0257411	0.0369586	0.0788983	0.0231119	0.00803986	0.0543255	0.211216	0.239767	0.0604178	0.0302211	0.441445	0.0169336	0.25985	0.22395	0.17079	0.345411	0.0345301	0.031678	0.0307058	0.0361804	0.0300492	0.0158706	0.0362069	0.0222586	0.0296686	0.0648737	0.0317954	0.0273323	0.0371192	0.0310985	0.0344625	0.0463132	0.0437587	0.0355585	0.0392135	0.0273599	0.0282828	0.0282817	0.0500366	0.0127795	0.00503999	0.00780773	0.0142304	0.00473678	0.00810796	0.0107838	0.00371861	0.0145136	0.00938673	0.0146432	0.0112316	0.00358405	0.0127982	0.00838897	0.0120447	0.0257127	0.00753211	0.00262017	0.0177045	3.068453
