Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	rel_branch_lengths[1]	rel_branch_lengths[2]	rel_branch_lengths[3]	rel_branch_lengths[4]	rel_branch_lengths[5]	rel_branch_lengths[6]	rel_branch_lengths[7]	rel_branch_lengths[8]	rel_branch_lengths[9]	rel_branch_lengths[10]	rel_branch_lengths[11]	rel_branch_lengths[12]	rel_branch_lengths[13]	rel_branch_lengths[14]	rel_branch_lengths[15]	rel_branch_lengths[16]	rel_branch_lengths[17]	rel_branch_lengths[18]	rel_branch_lengths[19]	rel_branch_lengths[20]	rel_branch_lengths[21]	rel_branch_lengths[22]	rel_branch_lengths[23]	rel_branch_lengths[24]	rel_branch_lengths[25]	rel_branch_lengths[26]	rel_branch_lengths[27]	rel_branch_lengths[28]	rel_branch_lengths[29]	rel_branch_lengths[30]	rel_branch_lengths[31]	rel_branch_lengths[32]	rel_branch_lengths[33]	rel_branch_lengths[34]	rel_branch_lengths[35]	rel_branch_lengths[36]	rel_branch_lengths[37]	rel_branch_lengths[38]	rel_branch_lengths[39]	rel_branch_lengths[40]	rel_branch_lengths[41]	rel_branch_lengths[42]	rel_branch_lengths[43]	TL
0	-25447.9	-25511.6	63.739	0.00523723	0.0151735	0.00751665	0.0157156	0.00216662	0.00265335	0.000303329	0.0180229	0.00297494	0.0229556	0.010116	0.0197089	0.0116812	0.00847227	0.00287499	0.00404979	0.00280424	0.00464827	0.000670113	0.00580231	0.0124427	0.025576	0.017174	0.0198625	0.000784239	0.0492647	0.0131422	0.00153718	0.00624049	0.00764944	0.0200985	0.0171486	0.0123139	0.00965801	0.0300151	0.0233494	0.00533649	0.0208086	0.0122701	0.0352764	0.00354825	0.00227509	0.0372536	1.805968	0.0582233	0.316346	0.37355	0.251881	0.00958193	0.0277612	0.0137523	0.028753	0.003964	0.00485452	0.000554964	0.0329744	0.0054429	0.0419991	0.018508	0.0360591	0.0213716	0.0155007	0.00526002	0.00740941	0.00513058	0.00850439	0.00122603	0.0106158	0.022765	0.0467933	0.0314213	0.0363401	0.00143483	0.0901337	0.0240447	0.0028124	0.0114175	0.0139953	0.0367719	0.0313748	0.0225293	0.0176701	0.054915	0.0427196	0.00976354	0.0380711	0.0224491	0.064541	0.0064918	0.00416246	0.0681584	0.5465736
10	-17087.6	-17148.6	60.9883	0.107254	0.0423376	0.0500573	0.0571901	0.0637655	0.0361559	0.00711602	0.0502881	0.046161	0.0574558	0.0361322	0.0503856	0.0506215	0.0899739	0.054618	0.0379338	0.0721566	0.0327298	0.038363	0.0300313	0.0436986	0.0400844	0.0491983	0.0290237	0.0260912	0.0294356	0.0252869	0.00509329	0.0214195	0.0144581	0.0356655	0.0249612	0.0119383	0.00743353	0.0244145	0.0192661	0.00937901	0.00492291	0.0264154	0.0170887	0.0114269	0.0130054	0.00632571	1.720534	0.135585	0.553972	0.0972437	0.213199	0.0711818	0.0280985	0.0332218	0.0379557	0.0423196	0.0239958	0.00472273	0.033375	0.0306359	0.038132	0.02398	0.0334397	0.0335963	0.0597135	0.0362487	0.0251758	0.0478886	0.021722	0.0254606	0.0199311	0.0290017	0.0266031	0.0326517	0.0192623	0.0173161	0.0195357	0.0167823	0.00338029	0.0142156	0.0095955	0.0236704	0.0165662	0.00792317	0.00493345	0.0162033	0.0127865	0.00622462	0.00326722	0.0175313	0.0113413	0.00758374	0.00863137	0.00419822	1.50676
20	-15298.6	-15353.7	55.0475	0.182204	0.0719236	0.083963	0.0931178	0.0816457	0.0906487	0.0793123	0.0675116	0.0784188	0.223903	0.0603181	0.0874552	0.0859965	0.152849	0.0927857	0.112925	0.12258	0.0842447	0.112661	0.061344	0.0704136	0.0735138	0.129882	0.0696467	0.0224558	0.0729131	0.0561384	0.00442388	0.0396432	0.0145524	0.0333635	0.0461053	0.0212823	0.0140905	0.0646683	0.0454725	0.0276727	0.046723	0.0418197	0.113414	0.0214068	0.0257238	0.036431	1.977765	0.264636	0.36948	0.0648582	0.301026	0.0584444	0.0230704	0.0269322	0.0298688	0.0261889	0.0290767	0.0254405	0.0216552	0.0251539	0.07182	0.0193478	0.0280524	0.0275845	0.0490282	0.0297622	0.0362223	0.0393193	0.0270226	0.0361375	0.0196769	0.0225861	0.0235805	0.0416614	0.0223401	0.007203	0.0233878	0.0180071	0.00141902	0.0127161	0.00466787	0.0107018	0.0147889	0.00682658	0.00451972	0.0207432	0.0145859	0.00887637	0.014987	0.0134142	0.0363792	0.0068665	0.00825126	0.0116857	3.117566
30	-14909	-14963.3	54.3351	0.171316	0.0938085	0.0791632	0.0907545	0.0839095	0.0764095	0.109016	0.0708272	0.0764285	0.181362	0.084742	0.0628963	0.0864574	0.0630492	0.112611	0.134367	0.119075	0.0889044	0.114748	0.0673308	0.079667	0.071648	0.203194	0.0678791	0.0289485	0.0219988	0.0547136	0.0269749	0.0338255	0.0163655	0.0350328	0.0451941	0.0278103	0.030723	0.0654134	0.0350371	0.0320671	0.0453708	0.0343565	0.111411	0.0290542	0.0285888	0.025115	2.893522	0.270885	0.29345	0.0772279	0.358437	0.0549517	0.0300903	0.0253926	0.0291107	0.0269151	0.0245093	0.0349682	0.0227187	0.0245155	0.0581743	0.0271821	0.0201748	0.0277323	0.0202239	0.0361214	0.0431001	0.0381949	0.0285173	0.036807	0.0215973	0.0255542	0.022982	0.0651773	0.0217731	0.00928562	0.0070564	0.0175501	0.00865255	0.01085	0.00524944	0.0112372	0.0144966	0.00892052	0.0098548	0.0209822	0.0112386	0.0102859	0.0145533	0.0110203	0.0357367	0.00931953	0.00917023	0.00805597	3.117566
40	-14764.9	-14819	54.0783	0.138961	0.100361	0.0920122	0.0970936	0.0958765	0.074238	0.114049	0.0767833	0.081767	0.182378	0.0669944	0.0879608	0.0987441	0.0947542	0.0954119	0.114393	0.127393	0.119631	0.0967379	0.081055	0.0893666	0.0877624	0.146805	0.0757152	0.00980405	0.0431615	0.056025	0.0117511	0.0368064	0.0286285	0.0498027	0.0712468	0.0315738	0.047702	0.0366304	0.0530701	0.0330451	0.0467987	0.0295718	0.0290715	0.026511	0.0206719	0.0194503	3.26563	0.258851	0.280413	0.118224	0.342513	0.0445735	0.0321921	0.0295141	0.0311441	0.0307537	0.0238128	0.0365828	0.0246292	0.0262278	0.0585001	0.0214893	0.0282146	0.0316735	0.0303937	0.0306046	0.0366929	0.0408628	0.0383733	0.03103	0.0259994	0.0286655	0.0281509	0.0470895	0.0242866	0.00314478	0.0138446	0.0179708	0.00376932	0.0118061	0.00918298	0.0159749	0.0228533	0.0101277	0.015301	0.0117497	0.0170229	0.0105997	0.0150113	0.00948553	0.00932505	0.00850375	0.00663078	0.00623893	3.117566
50	-14746.5	-14800.1	53.6199	0.121551	0.100392	0.0939547	0.097124	0.105616	0.0742612	0.13051	0.0768073	0.0965961	0.158481	0.0825911	0.0879883	0.0921104	0.0926922	0.112508	0.151157	0.127432	0.119669	0.108194	0.0810803	0.0878133	0.0666934	0.146462	0.067698	0.0240531	0.043175	0.0451445	0.0331196	0.0160119	0.0229958	0.0258079	0.047699	0.0451723	0.0477169	0.0450234	0.0432804	0.0433751	0.0501939	0.0288302	0.0291706	0.0171886	0.0206784	0.00954526	3.991538	0.292703	0.267605	0.112824	0.326869	0.0389892	0.0322022	0.0301372	0.0311538	0.0338778	0.0238203	0.0418628	0.024637	0.0309845	0.0508349	0.0264922	0.0282234	0.0295456	0.0297322	0.0360883	0.0484855	0.0408756	0.0383853	0.0347047	0.0260076	0.0281673	0.0213928	0.0469797	0.021715	0.00771535	0.0138489	0.0144807	0.0106235	0.00513602	0.00737622	0.00827822	0.0153001	0.0144896	0.0153058	0.0144418	0.0138828	0.0139131	0.0161004	0.00924765	0.00935686	0.00551348	0.00663286	0.00306177	3.117566
60	-14743.9	-14797.6	53.7612	0.119498	0.0986961	0.100318	0.0862719	0.103832	0.0718294	0.129494	0.0743584	0.0920808	0.189296	0.0795118	0.0765004	0.106418	0.091126	0.0996526	0.148603	0.127056	0.117647	0.106366	0.0720214	0.0777936	0.0822515	0.165394	0.0766544	0.0321002	0.0277535	0.0443817	0.0168975	0.0368149	0.00767648	0.0377702	0.0716295	0.0356825	0.0442125	0.0518853	0.0333744	0.0411833	0.03347	0.0275116	0.0198666	0.0207667	0.0266572	0.0152614	3.758887	0.281862	0.271514	0.114603	0.332022	0.0383304	0.0316581	0.0321783	0.0276728	0.0333054	0.0230402	0.041537	0.0238514	0.0295361	0.0607192	0.0255045	0.0245385	0.0341351	0.0292298	0.0319649	0.0476663	0.0407548	0.0377367	0.0341183	0.0231018	0.0249533	0.0263833	0.0530524	0.0245879	0.0102966	0.00890231	0.014236	0.00542009	0.0118089	0.00246233	0.0121153	0.0229761	0.0114456	0.0141817	0.0166429	0.0107053	0.0132101	0.0107359	0.00882471	0.00637248	0.00666119	0.00855066	0.00489528	3.117566
70	-14738.5	-14792	53.5108	0.122	0.0999823	0.102419	0.0742823	0.106006	0.0722293	0.119789	0.0759156	0.0925732	0.163852	0.0616564	0.0781025	0.104589	0.0930344	0.0990925	0.122728	0.132086	0.117159	0.108594	0.0771053	0.0844035	0.104135	0.170666	0.0782597	0.0165169	0.0290088	0.0523661	0.0187669	0.0375859	0.0127932	0.065907	0.0593207	0.0486468	0.0291658	0.0454544	0.0340734	0.0411433	0.0380553	0.0438728	0.0135797	0.026866	0.0272155	0.0165671	4.176584	0.273044	0.260714	0.110044	0.356198	0.0391331	0.0320706	0.0328522	0.023827	0.0340029	0.0231685	0.038424	0.0243509	0.029694	0.0525576	0.0197771	0.0250524	0.0335484	0.029842	0.0317852	0.0393665	0.0423683	0.0375803	0.0348329	0.0247325	0.0270735	0.0334028	0.0547432	0.0251028	0.005298	0.00930494	0.0167971	0.00601972	0.0120562	0.0041036	0.0211405	0.0190279	0.0156041	0.0093553	0.0145801	0.0109295	0.0131973	0.0122067	0.0140728	0.00435588	0.00861762	0.00872973	0.00531412	3.117566
80	-14725.5	-14779.1	53.5093	0.133913	0.0918702	0.105661	0.09098	0.0995155	0.0764287	0.138196	0.0721377	0.109134	0.173359	0.0653307	0.0758278	0.0981127	0.0984325	0.104842	0.125807	0.146567	0.123957	0.114895	0.0815792	0.0756281	0.0961079	0.180568	0.0735536	0.0333325	0.0246929	0.0502294	0.0252817	0.0216316	0.00689083	0.0462321	0.0433767	0.0421193	0.0264005	0.0510266	0.0462438	0.0482003	0.0387269	0.0174625	0.0269369	0.023087	0.0287218	0.015628	3.863053	0.283598	0.262871	0.110955	0.342576	0.0422623	0.0289937	0.0333459	0.0287128	0.0314065	0.0241204	0.0436139	0.0227663	0.0344421	0.0547111	0.020618	0.0239308	0.0309638	0.0310647	0.0330876	0.0397041	0.0462557	0.0391201	0.0362601	0.0257459	0.0238678	0.0303311	0.0569862	0.0232131	0.0105196	0.00779294	0.0158521	0.00797875	0.00682681	0.00217471	0.0145906	0.0136894	0.0132926	0.00833184	0.0161037	0.0145943	0.0152118	0.012222	0.00551108	0.00850115	0.00728612	0.00906445	0.0049321	3.168625
90	-14728.4	-14780.9	52.517	0.147327	0.101072	0.101872	0.108898	0.120067	0.0596323	0.152038	0.0753497	0.108131	0.190723	0.0771972	0.0922685	0.10794	0.111256	0.114238	0.151085	0.104074	0.120999	0.117143	0.0842329	0.101735	0.0958112	0.201387	0.102793	0.0349094	0.0270442	0.046926	0.0285538	0.0252517	0.0352798	0.0730365	0.0422123	0.0332236	0.0378881	0.0655175	0.0332946	0.0519693	0.0421435	0.0166976	0.0236372	0.0245849	0.0291763	0.0184147	3.863053	0.275336	0.290546	0.101523	0.332595	0.0428645	0.0294069	0.0296394	0.0316837	0.0349334	0.0173499	0.0442354	0.0219229	0.0314606	0.0554907	0.0224604	0.0268454	0.031405	0.0323696	0.0332375	0.043958	0.0302803	0.0352045	0.0340827	0.0245074	0.0295997	0.0278761	0.0585933	0.0299076	0.0101568	0.00786848	0.013653	0.00830769	0.00734695	0.0102646	0.0212499	0.0122816	0.00966637	0.0110235	0.0190622	0.00968702	0.0151204	0.0122616	0.00485814	0.00687722	0.00715294	0.0084888	0.00535772	3.437033
