Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	rel_branch_lengths[1]	rel_branch_lengths[2]	rel_branch_lengths[3]	rel_branch_lengths[4]	rel_branch_lengths[5]	rel_branch_lengths[6]	rel_branch_lengths[7]	rel_branch_lengths[8]	rel_branch_lengths[9]	rel_branch_lengths[10]	rel_branch_lengths[11]	rel_branch_lengths[12]	rel_branch_lengths[13]	rel_branch_lengths[14]	rel_branch_lengths[15]	rel_branch_lengths[16]	rel_branch_lengths[17]	rel_branch_lengths[18]	rel_branch_lengths[19]	rel_branch_lengths[20]	rel_branch_lengths[21]	rel_branch_lengths[22]	rel_branch_lengths[23]	rel_branch_lengths[24]	rel_branch_lengths[25]	rel_branch_lengths[26]	rel_branch_lengths[27]	rel_branch_lengths[28]	rel_branch_lengths[29]	rel_branch_lengths[30]	rel_branch_lengths[31]	rel_branch_lengths[32]	rel_branch_lengths[33]	rel_branch_lengths[34]	rel_branch_lengths[35]	rel_branch_lengths[36]	rel_branch_lengths[37]	rel_branch_lengths[38]	rel_branch_lengths[39]	rel_branch_lengths[40]	rel_branch_lengths[41]	rel_branch_lengths[42]	rel_branch_lengths[43]	TL
0	-25880.1	-25944	63.9325	0.00219722	0.0115242	0.0111336	0.008895	0.000826088	0.000282113	0.0112326	0.00475764	0.0225117	0.000923882	0.00154259	0.0200492	0.00850953	0.0109733	0.00829096	0.00127597	0.0235266	0.0159427	0.0158057	0.00301656	0.00746224	0.00291931	0.00788525	0.00659333	0.00185898	0.00167236	0.00479035	0.000503788	0.0136946	0.00213999	0.00913464	0.0129314	0.0270895	0.00463406	0.00422947	0.00240951	0.0466849	0.00821822	0.00124274	0.0177027	0.00229552	0.00275985	0.00963981	0.00575625	0.0301911	0.0291678	0.0233031	0.00216418	0.000739077	0.029427	0.012464	0.058976	0.00242038	0.00404128	0.0525247	0.0222932	0.0287478	0.0217206	0.00334279	0.0616348	0.0417666	0.0414076	0.00790276	0.0195495	0.00764798	0.0206577	0.0172732	0.00487015	0.00438124	0.0125497	0.00131982	0.035877	0.00560633	0.0239309	0.0338776	0.0709688	0.0121403	0.0110803	0.00631242	0.122305	0.02153	0.00325573	0.0463773	0.00601377	0.00723023	0.0252543	0.3817096
10	-16844.9	-16903.8	58.9174	0.0776415	0.0853282	0.0590506	0.119051	0.0499136	0.0644958	0.0890623	0.0535045	0.0629113	0.0666476	0.0556455	0.0614206	0.0492483	0.065766	0.0593742	0.0410253	0.0771046	0.0966594	0.0667135	0.064795	0.0500795	0.066216	0.0901537	0.0624572	0.0100901	0.00761492	0.0185977	0.0345289	0.0391344	0.0290486	0.0298219	0.0227805	0.0142906	0.025229	0.0237675	0.0192873	0.00311031	0.0192546	0.00902872	0.0413977	0.0126218	0.0137436	0.048892	0.0377541	0.0414919	0.028714	0.0578901	0.0242711	0.0313618	0.0433076	0.0260172	0.0305913	0.0324082	0.0270583	0.0298665	0.0239476	0.0319795	0.0288714	0.019949	0.037493	0.0470018	0.0324402	0.0315073	0.0243517	0.0321983	0.0438383	0.0303706	0.00490643	0.00370284	0.00904335	0.0167901	0.0190296	0.0141252	0.0145013	0.0110773	0.00694897	0.0122679	0.0115572	0.00937867	0.00151243	0.00936279	0.00439032	0.0201301	0.00613749	0.00668296	0.0237743	2.056506
20	-15807.4	-15862.2	54.7776	0.101592	0.140045	0.0934315	0.120371	0.0847024	0.0897625	0.116536	0.0854019	0.0823181	0.159393	0.0769052	0.0803677	0.0988338	0.110637	0.07769	0.136453	0.110164	0.111338	0.100968	0.0720456	0.106248	0.0833796	0.200177	0.0817241	0.0455685	0.0274626	0.0344554	0.0400217	0.048307	0.0380095	0.0318929	0.0716482	0.0157332	0.0648446	0.0287994	0.0373616	0.0156687	0.0154769	0.0432855	0.0527831	0.0185682	0.0263778	0.0254152	0.0317261	0.0437345	0.0291776	0.0375906	0.0264516	0.0280318	0.036393	0.0266701	0.025707	0.0497768	0.0240166	0.0250979	0.0308647	0.0345507	0.0242617	0.0426126	0.034403	0.0347696	0.031531	0.022499	0.03318	0.0260385	0.062513	0.0255215	0.0142305	0.00857627	0.01076	0.0124983	0.0150857	0.0118699	0.00995979	0.0223749	0.0049133	0.0202502	0.00899372	0.0116676	0.00489317	0.00483325	0.0135176	0.0164836	0.00579863	0.00823749	0.00793688	3.202165
30	-15764	-15818.8	54.7776	0.142804	0.0969108	0.112462	0.118985	0.126056	0.0908098	0.117896	0.0848463	0.0956701	0.172155	0.0727563	0.0813053	0.0916634	0.106875	0.123266	0.143158	0.111449	0.112637	0.129221	0.0564811	0.0770993	0.0843524	0.143383	0.0217422	0.0459319	0.0256047	0.0245489	0.0475225	0.0495674	0.0354375	0.0326899	0.0335292	0.0219314	0.0725967	0.0302005	0.0065868	0.0325408	0.0182551	0.0327786	0.0464061	0.0478632	0.0463785	0.037812	0.044596	0.0302641	0.0351206	0.0371575	0.039366	0.0283589	0.0368175	0.0264965	0.0298767	0.0537619	0.022721	0.0253907	0.0286254	0.0333759	0.0384945	0.0447067	0.0348043	0.0351752	0.0403542	0.0176384	0.0240772	0.0263423	0.0447769	0.00678984	0.014344	0.00799607	0.00766635	0.0148407	0.0154793	0.0110667	0.0102087	0.0104708	0.00684893	0.0226711	0.00943128	0.00205698	0.0101621	0.00570087	0.0102364	0.0144921	0.0149471	0.0144835	0.0118083	3.202165
40	-15766.5	-15821.3	54.7776	0.111278	0.104347	0.111048	0.117489	0.0946617	0.0810893	0.0988348	0.0837795	0.122132	0.16999	0.0762989	0.0747824	0.0905109	0.114987	0.0886266	0.135612	0.110048	0.111221	0.127596	0.086158	0.0761299	0.0863863	0.171916	0.0148165	0.028607	0.0465209	0.0312752	0.045833	0.0489442	0.0621612	0.0416325	0.025223	0.0227753	0.0678157	0.0374727	0.0307911	0.0202871	0.0248606	0.0505812	0.0492604	0.0331477	0.0457954	0.0294423	0.0347509	0.0325863	0.034679	0.0366904	0.0295618	0.0253233	0.030865	0.0261634	0.0381404	0.053086	0.0238273	0.0233537	0.0282655	0.0359092	0.0276771	0.0423502	0.0343667	0.034733	0.0398469	0.0269062	0.0237745	0.0269775	0.0536875	0.00462704	0.00893365	0.014528	0.0097669	0.0143131	0.0152847	0.0194123	0.0130014	0.00787685	0.00711246	0.0211781	0.0117023	0.00961571	0.00633543	0.00776368	0.0157959	0.0153835	0.0103517	0.0143014	0.0091945	3.202165
50	-15765.3	-15820.1	54.7776	0.118666	0.107985	0.110265	0.11236	0.106651	0.0631795	0.106457	0.0734564	0.102534	0.177856	0.0758949	0.072221	0.0898726	0.114176	0.0877413	0.134656	0.1067	0.110436	0.126696	0.0736492	0.0886449	0.0822023	0.170704	0.0180099	0.0376554	0.0297375	0.0364263	0.0529148	0.048599	0.0602193	0.0524122	0.0277077	0.0160711	0.0849905	0.0458889	0.0232614	0.0136363	0.012028	0.0536745	0.0454393	0.0381355	0.0511462	0.0412072	0.0370579	0.0337225	0.0344345	0.0350886	0.0333061	0.0197302	0.0332453	0.0229396	0.0320201	0.0555425	0.0237011	0.0225538	0.0280662	0.035656	0.0274006	0.0420515	0.0333211	0.034488	0.0395659	0.0229998	0.0276828	0.0256709	0.0533089	0.0056243	0.0117594	0.0092867	0.0113755	0.0165247	0.0151769	0.0188058	0.0163677	0.00865279	0.00501882	0.0265416	0.0143306	0.00726426	0.00425847	0.00375621	0.0167619	0.0141902	0.0119093	0.0159724	0.0128686	3.202165
60	-15761.1	-15815.9	54.7776	0.119377	0.0972461	0.0995824	0.113033	0.107291	0.0890879	0.121048	0.0738965	0.100864	0.178922	0.0936741	0.0885509	0.114506	0.0862034	0.130128	0.124926	0.1403	0.0948088	0.127456	0.0492346	0.0875653	0.0995672	0.171727	0.0246693	0.0386485	0.0377293	0.032933	0.0492092	0.0610201	0.0405662	0.0407664	0.0235589	0.0228839	0.0772757	0.0268652	0.0242344	0.0202322	0.00625817	0.0402693	0.0457116	0.0221599	0.03577	0.0224096	0.03728	0.0303689	0.0310985	0.0352989	0.0335056	0.0278212	0.037802	0.0230771	0.0314986	0.0558754	0.0292534	0.0276534	0.0357588	0.0269203	0.0406376	0.0390131	0.043814	0.0296077	0.039803	0.0153754	0.0273456	0.0310937	0.0536283	0.00770393	0.0120695	0.0117824	0.0102846	0.0153675	0.0190559	0.0126684	0.0127309	0.00735717	0.00714637	0.0241323	0.00838969	0.00756812	0.00631829	0.00195436	0.0125757	0.0142752	0.00692027	0.0111706	0.00699828	3.202165
70	-15765.8	-15820.5	54.7776	0.124952	0.0989338	0.101311	0.114995	0.109153	0.0821849	0.129574	0.075179	0.110903	0.182027	0.0769472	0.0900877	0.118372	0.0876994	0.107113	0.101848	0.110481	0.125558	0.129668	0.0619532	0.0685909	0.101295	0.159264	0.0113253	0.0321601	0.0384424	0.0248484	0.0550403	0.0468206	0.0547932	0.0375127	0.0246429	0.0375394	0.0786168	0.0180665	0.00959474	0.0338385	0.019123	0.0620493	0.0336497	0.0512401	0.0362707	0.0285011	0.0390211	0.0308959	0.0316382	0.0359115	0.0340871	0.0256654	0.0404644	0.0234776	0.0346337	0.0568451	0.0240298	0.0281334	0.0369662	0.0273875	0.0334501	0.0318061	0.0345021	0.0392104	0.0404937	0.0193473	0.0214202	0.0316333	0.0497364	0.00353677	0.0100432	0.0120051	0.00775987	0.0171885	0.0146215	0.0171113	0.0117148	0.0076957	0.0117231	0.0245511	0.00564196	0.00299633	0.0105674	0.0059719	0.0193773	0.0105084	0.0160017	0.0113269	0.00890057	3.202165
80	-15761.6	-15816.4	54.8542	0.123885	0.108476	0.0955776	0.101043	0.113689	0.0714527	0.146091	0.0985333	0.0824782	0.172111	0.0762901	0.0704361	0.0920032	0.0869505	0.106198	0.118839	0.109538	0.110863	0.120147	0.0691494	0.0977843	0.10043	0.157904	0.0230191	0.0318854	0.0463012	0.022573	0.0770634	0.0409448	0.0423933	0.0290162	0.0178392	0.0367592	0.0678397	0.0186811	0.0257998	0.0293902	0.0353815	0.0529622	0.0550687	0.0254625	0.0404377	0.032694	0.0389406	0.034097	0.0300428	0.0317608	0.0357358	0.0224596	0.0459206	0.0309719	0.0259253	0.0540993	0.0239802	0.0221401	0.0289193	0.027331	0.0333811	0.0373546	0.0344309	0.0348476	0.0377658	0.0217356	0.0307364	0.0315681	0.0496337	0.00723557	0.0100225	0.0145538	0.00709534	0.0242232	0.0128701	0.0133254	0.00912063	0.00560737	0.0115545	0.021324	0.00587202	0.00810962	0.00923818	0.0111214	0.0166475	0.0173097	0.0080036	0.0127107	0.0102767	3.181383
90	-15751.8	-15806.7	54.8542	0.120592	0.103702	0.105762	0.102974	0.112374	0.0909917	0.112935	0.0818872	0.104644	0.167536	0.074352	0.068564	0.0974847	0.104697	0.103375	0.134817	0.118015	0.107917	0.108065	0.0720931	0.0951853	0.0781698	0.187738	0.0223166	0.0305885	0.042398	0.0253882	0.0451137	0.0407528	0.0575436	0.0430092	0.0194441	0.0253153	0.0748511	0.0392916	0.0344026	0.0259854	0.0281658	0.0441216	0.0388807	0.0271629	0.0313315	0.0314495	0.0379056	0.0325964	0.033244	0.0323677	0.0353222	0.0286013	0.0354987	0.0257395	0.0328926	0.0526614	0.023371	0.0215516	0.0306422	0.0329091	0.0324939	0.0423769	0.0370955	0.0339213	0.033968	0.0226609	0.0299195	0.024571	0.0590113	0.00701474	0.00961486	0.0133269	0.00798023	0.0141805	0.0128098	0.0180876	0.013519	0.00611185	0.00795733	0.0235278	0.0123505	0.0108137	0.00816797	0.00885332	0.0138687	0.0122213	0.00853808	0.0098484	0.00988549	3.181383
