Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-20074.7	-20074	-0.68284	0.0982995	0.111244	0.00801296	0.0648831	0.107576	0.0405238	0.0534586	0.106935	0.0180546	0.057976	0.524932	0.0967914	0.302455	0.082403	0.0773025	0.00310842	0.0419483	0.137332	0.0222692	0.00391644	0.394873	0.0899993	0.0154466	0.279649	0.113261	0.0501897	0.0352746	0.0318397	0.133359	0.0489395	0.00666769	0.377663	0.029715	0.0347568	0.23421	0.155326	0.0892509	0.105239	0.00116213	0.169492	0.204658	0.0235207	0.152453	0.150949	0.351527	0.171509	0.326015	4.736368
10	-18161.7	-18165.2	3.58029	0.153866	0.131291	0.00801296	0.134885	0.160989	0.191999	0.214161	0.169362	0.0357922	0.113279	0.236168	0.138076	0.253734	0.167328	0.194849	0.00660493	0.114338	0.174544	0.0567272	0.00906253	0.15629	0.209985	0.150447	0.128794	0.0266764	0.0627207	0.120836	0.0228286	0.0530412	0.0406954	0.0202691	0.10677	0.0616617	0.0271781	0.171363	0.07248	0.0734685	0.00514007	0.000447775	0.0422037	0.0379664	0.0161726	0.0375527	0.269101	0.301192	0.106861	0.322845	4.310055
20	-17431	-17436.6	5.5434	0.174999	0.131291	0.0481596	0.135609	0.175136	0.204576	0.194802	0.158515	0.216176	0.150723	0.145657	0.135497	0.103569	0.134685	0.176373	0.0469902	0.129279	0.190492	0.165491	0.055877	0.105972	0.236377	0.238234	0.0494028	0.00827716	0.0606218	0.048779	0.0112928	0.0491317	0.0341133	0.00818452	0.0179795	0.116755	0.0380251	0.0454916	0.0277882	0.037021	0.00724036	0.000300858	0.00960403	0.0354465	0.0106719	0.0431359	0.218463	0.35928	0.105009	0.317249	4.113744
30	-17219.4	-17224.9	5.52782	0.192665	0.166424	0.173558	0.191337	0.162593	0.197718	0.208234	0.159528	0.20917	0.168211	0.143415	0.125632	0.106954	0.122518	0.163489	0.147764	0.137736	0.184404	0.205958	0.0762602	0.149572	0.123534	0.191985	0.0316609	0.00422034	0.0675205	0.020984	0.00224302	0.0228841	0.0208133	0.00456388	0.0123751	0.0420121	0.0210545	0.0503569	0.0137359	0.0148013	0.01491	0.000337496	0.0189511	0.0138862	0.013249	0.0160833	0.237245	0.297617	0.114037	0.351101	4.115302
40	-17211.6	-17217.3	5.73612	0.189553	0.135236	0.194839	0.218148	0.162593	0.161189	0.208234	0.202051	0.20917	0.164034	0.161225	0.143394	0.106954	0.117668	0.166892	0.133626	0.131625	0.139203	0.207909	0.0939135	0.133544	0.134845	0.161772	0.0324522	0.0113271	0.0574629	0.0124473	0.00424849	0.0412724	0.00647713	0.000660401	0.0163074	0.0495868	0.0174619	0.0484206	0.00595008	0.015525	0.0276279	0.000999599	0.00828666	0.0196875	0.0181498	0.0225052	0.211563	0.307213	0.101692	0.379532	4.094472
50	-17213.9	-17221	7.17618	0.189553	0.179354	0.163591	0.195492	0.146673	0.202623	0.219484	0.198781	0.222745	0.142302	0.114587	0.124593	0.107345	0.114827	0.166892	0.125885	0.126888	0.143111	0.152538	0.0925194	0.145053	0.125846	0.179791	0.018256	0.00523533	0.0483836	0.0354401	0.00124629	0.0264302	0.00651946	0.00158754	0.0168146	0.0436619	0.0149817	0.0411075	0.0174292	0.0156746	0.0136143	0.00390882	0.00968922	0.0205967	0.00436271	0.0250513	0.212286	0.308263	0.0986228	0.380829	3.950466
60	-17204.4	-17211	6.57059	0.198278	0.140402	0.1695	0.199554	0.158647	0.204308	0.232324	0.170822	0.222895	0.176956	0.126652	0.108737	0.120335	0.128988	0.18239	0.139284	0.131746	0.134501	0.182025	0.0799134	0.121758	0.124821	0.1767	0.0364796	0.00817695	0.050958	0.0166217	0.0014469	0.0318333	0.0087098	0.00034966	0.0117135	0.0470246	0.0177353	0.0413035	0.00917718	0.00959481	0.0355105	0.0125824	0.00526286	0.00922846	0.00459267	0.02119	0.226903	0.302542	0.0967927	0.373762	4.011025
70	-17196.5	-17203.2	6.69491	0.194594	0.147381	0.173972	0.185016	0.163846	0.183502	0.235007	0.180564	0.212583	0.155627	0.130049	0.132157	0.114493	0.128988	0.159242	0.141842	0.112731	0.139488	0.193065	0.0887163	0.148904	0.12056	0.18304	0.0373859	0.0107197	0.0458814	0.0175816	0.00129513	0.0230931	0.00651666	0.0006707	0.0198231	0.02629	0.0246028	0.0336935	0.00955102	0.00567778	0.0146815	0.0247488	0.00866802	0.0236415	0.0102723	0.0284318	0.241099	0.296987	0.0950153	0.366899	3.998593
80	-17202.5	-17208.8	6.31967	0.210729	0.165999	0.173972	0.164527	0.149469	0.177968	0.191513	0.180564	0.200062	0.16975	0.153385	0.149422	0.114493	0.140582	0.159242	0.140616	0.133093	0.143015	0.185014	0.0837146	0.144094	0.123035	0.174676	0.0166586	0.0184088	0.0696647	0.0238514	0.00108704	0.0161929	0.00710649	0.000398259	0.0139116	0.0442061	0.0131756	0.0372037	0.0216959	0.00712739	0.0264835	0.0196041	0.0129463	0.0152711	0.0232404	0.018947	0.241099	0.296987	0.0950153	0.366899	4.036117
90	-17213.4	-17218.3	4.85978	0.211098	0.165999	0.175905	0.205761	0.137098	0.163465	0.203733	0.211011	0.23984	0.172595	0.159004	0.151639	0.131533	0.136954	0.134839	0.123631	0.158699	0.151481	0.229657	0.0775343	0.136453	0.134992	0.204483	0.0206447	0.0199339	0.0390266	0.02023	0.00114022	0.0254012	0.0114498	0.00172139	0.0096045	0.0313369	0.024346	0.0392594	0.0291121	0.00242249	0.0214953	0.00720927	0.0056233	0.0225919	0.0185752	0.0135778	0.240794	0.29661	0.0961623	0.366434	4.182106
