Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
0	0	-25423.7	-25416.3	-7.32729	1	0.143465	0.020857	0.0154296	0.237799	0.277596	0.00976164	0.00138417	0.0533437	0.0438776	0.161104	0.122112	0.00134752	0.0585193	0.110494	0.0228368	0.0403004	0.187981	0.0529999	0.125717	0.0510922	0.00246368	0.221271	0.10981	0.0199436	0.183919	0.0101893	0.100094	0.110765	0.0197753	0.0219641	0.335366	0.141967	0.163272	0.0497563	0.241618	0.138812	0.10527	0.00692921	0.0122154	0.0927506	0.169444	0.0372743	0.00460742	0.230582	0.229083	0.0756478	0.157981	0.0253376	0.28137	0.136954	0.476752	1	2.38629	0.000322293	0.149243	0.385261	0.465174	0.3723263	4.037494
1	1	-17710.4	-17699.6	-10.7967	1	0.0243069	0.103649	0.0874305	0.100204	0.088382	0.24262	0.0745666	0.239832	0.169232	0.0817579	0.019035	0.0276369	0.458369	0.0075246	0.0331292	0.130891	0.136008	0.0348179	0.0190747	0.022295	0.00241222	0.0803161	0.30882	0.0681938	0.0852513	0.180557	0.0863224	0.0665231	0.0495174	0.156238	0.130014	0.102511	0.00212383	0.106613	0.240887	0.0188042	0.0128898	0.18115	0.2105	0.0583633	0.00604558	0.0044521	0.125162	0.195433	0.287334	0.0306484	0.026269	0.347443	0.112874	0.136954	0.476752	1	2.38629	0.100633	0.495752	0.0871674	0.316448	0.06371936	4.38443
2	0	-18924.4	-18917.5	-6.86748	1.134062	0.151842	0.211155	0.0239412	0.237799	0.180767	0.0297184	0.0105753	0.158626	0.151346	0.198361	0.126974	0.00748944	0.134534	0.105977	0.0773532	0.109	0.193079	0.123521	0.198832	0.218683	0.00558355	0.185534	0.228085	0.0145397	0.0842706	0.0052349	0.0466378	0.050231	0.0190036	0.00546341	0.0864082	0.0994082	0.0521405	0.0409715	0.124345	0.0943026	0.0738719	0.00911076	0.010056	0.0363928	0.0536162	0.0132307	0.00350286	0.272479	0.182806	0.0856223	0.0200616	0.106536	0.332495	0.1629	0.513645	1.01909	2.30436	0.00452723	0.301921	0.247284	0.446268	0.4555598	3.991513
3	1	-14883.8	-14864.3	-19.4654	0.5039379	0.219235	0.264607	0.299073	0.15408	0.285035	0.165588	0.352954	0.241892	0.265448	0.198777	0.122494	0.108592	0.286234	0.0394121	0.177458	0.1703	0.20582	0.168198	0.188069	0.143875	0.00682319	0.126121	0.179482	0.0467558	0.0230904	0.0361631	0.067391	0.0249217	0.0621088	0.0278736	0.0320424	0.0388626	0.00273312	0.0768782	0.148735	0.0135646	0.0173155	0.0672723	0.0653081	0.00918924	0.0123063	0.00521013	0.104014	0.121285	0.446216	0.104925	0.014968	0.294278	0.0183276	0.0341199	0.254479	0.823113	2.88829	0.222182	0.407589	0.079957	0.290272	0.2792639	5.251303
4	0	-15257.2	-15249.1	-8.15745	0.7928997	0.13483	0.207776	0.0843647	0.283786	0.194495	0.164855	0.0308864	0.19026	0.246285	0.165955	0.124681	0.0358322	0.124834	0.0871901	0.150301	0.154095	0.175944	0.150152	0.294439	0.132251	0.0247503	0.160158	0.186312	0.0170513	0.0394144	0.00317814	0.0417833	0.0250662	0.0065776	0.000917678	0.0388744	0.0944406	0.01591	0.0268086	0.158119	0.0218193	0.0638947	0.00364139	0.00474822	0.0189594	0.0187295	0.0106897	0.00545426	0.322836	0.369705	0.146654	0.0222037	0.138601	5.71444e-08	0.094047	0.40426	0.954968	2.54673	0.18665	0.413703	0.0923302	0.307317	0.4113784	4.12051
5	1	-14518.9	-14482.7	-36.2797	0.7972512	0.444545	0.394526	0.507178	0.552162	0.340986	0.172583	0.449088	0.418667	0.230484	0.320729	0.163039	0.201842	0.1614	0.152062	0.231502	0.224299	0.276318	0.209894	0.23573	0.180074	0.0175402	0.144981	0.294717	0.0237853	0.0157803	0.0245147	0.0398447	0.0171905	0.101192	0.0147477	0.0212641	0.0340509	0.00171422	0.0270133	0.0332115	0.00979896	0.025573	0.0193235	0.0126812	0.00970529	0.00305706	0.00287612	0.171066	0.110714	0.404968	0.0656805	0.0246916	0.374865	0.019081	0.0949737	0.406025	0.95619	2.54281	0.272003	0.384399	0.0797082	0.263889	0.4195867	6.932738
6	0	-14687.3	-14674.3	-13.0016	0.8731558	0.172826	0.233462	0.186577	0.283786	0.257727	0.209948	0.0838766	0.325208	0.271031	0.219813	0.106006	0.0517852	0.167443	0.0979944	0.205359	0.147638	0.17973	0.15378	0.197442	0.140459	0.0876325	0.140824	0.22954	0.0431302	0.0165908	0.00393762	0.0518496	0.00652042	0.00604955	0.000438532	0.00639949	0.0718518	0.0224997	0.0116488	0.135482	0.0131323	0.0150243	0.00846971	0.00577241	0.00269445	0.0171028	0.0085936	0.00785369	0.204212	0.389525	0.119107	0.00726406	0.279892	1.09893e-08	0.111004	0.435001	0.975332	2.47866	0.207139	0.392389	0.108988	0.291484	0.4113784	4.604929
7	1	-14476	-14418.5	-57.4903	0.8471569	0.512449	0.511864	0.51437	0.679594	0.544279	0.182209	0.566069	0.735329	0.271177	0.322637	0.238321	0.25353	0.223018	0.278252	0.325168	0.302425	0.357201	0.211423	0.26331	0.274432	0.111613	0.158664	0.410446	0.0291681	0.00467166	0.0250027	0.0194314	0.0103403	0.341444	0.00580832	0.0101649	0.0299084	0.00203054	0.0138066	0.0219818	0.0107522	0.0618297	0.00830886	0.0173581	0.0145039	0.00783375	0.000604166	0.171066	0.112964	0.4132	0.060283	0.0115982	0.382485	0.0194689	0.105546	0.425449	0.969211	2.49979	0.272003	0.384399	0.0797082	0.263889	0.4195867	9.053795
8	0	-14607.1	-14587.2	-19.8929	1.21033	0.194073	0.275018	0.139591	0.27302	0.354514	0.275266	0.103289	0.325208	0.310004	0.202508	0.139389	0.13257	0.163242	0.123438	0.230857	0.208608	0.24788	0.175671	0.207553	0.168585	0.154653	0.150308	0.283778	0.0269913	0.0106573	0.00406153	0.0716551	0.00152938	0.0114702	0.000852428	0.0116474	0.0573566	0.0155531	0.00851312	0.181618	0.0104799	0.0082887	0.0181045	0.00238556	0.00329534	0.00319303	0.00215952	0.00522422	0.195455	0.401829	0.104689	0.00929277	0.288734	1.29603e-07	0.17692	0.531976	1.02767	2.26343	0.235027	0.378588	0.105154	0.281231	0.4113784	5.29406
9	1	-14438.4	-14375	-63.3945	0.7625157	0.612243	0.390723	0.575926	0.586325	0.489771	0.235247	0.624155	0.628727	0.331536	0.438408	0.265699	0.330263	0.293482	0.24186	0.428988	0.260115	0.292239	0.365577	0.31493	0.261321	0.20874	0.253886	0.524512	0.0129149	0.00485141	0.0153505	0.0138108	0.0391608	0.310135	0.00340461	0.0119559	0.0295249	0.000981663	0.0157859	0.0519063	0.00340059	0.0392438	0.0103411	0.00376156	0.0353965	0.0118055	0.000225483	0.0755816	0.10596	0.387579	0.0486635	0.0213864	0.413778	0.022634	0.0875614	0.391593	0.946002	2.57484	0.275457	0.38928	0.0680239	0.26724	0.4195867	9.644211
