Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
0	-17710.4	-17699.6	-10.7967	1	0.0243069	0.103649	0.0874305	0.100204	0.088382	0.24262	0.0745666	0.239832	0.169232	0.0817579	0.019035	0.0276369	0.458369	0.0075246	0.0331292	0.130891	0.136008	0.0348179	0.0190747	0.022295	0.00241222	0.0803161	0.30882	0.0681938	0.0852513	0.180557	0.0863224	0.0665231	0.0495174	0.156238	0.130014	0.102511	0.00212383	0.106613	0.240887	0.0188042	0.0128898	0.18115	0.2105	0.0583633	0.00604558	0.0044521	0.125162	0.195433	0.287334	0.0306484	0.026269	0.347443	0.112874	0.136954	0.476752	1	2.38629	0.100633	0.495752	0.0871674	0.316448	0.06371936	4.38443
10	-14883.8	-14864.3	-19.4654	0.5039379	0.219235	0.264607	0.299073	0.15408	0.285035	0.165588	0.352954	0.241892	0.265448	0.198777	0.122494	0.108592	0.286234	0.0394121	0.177458	0.1703	0.20582	0.168198	0.188069	0.143875	0.00682319	0.126121	0.179482	0.0467558	0.0230904	0.0361631	0.067391	0.0249217	0.0621088	0.0278736	0.0320424	0.0388626	0.00273312	0.0768782	0.148735	0.0135646	0.0173155	0.0672723	0.0653081	0.00918924	0.0123063	0.00521013	0.104014	0.121285	0.446216	0.104925	0.014968	0.294278	0.0183276	0.0341199	0.254479	0.823113	2.88829	0.222182	0.407589	0.079957	0.290272	0.2792639	5.251303
20	-14518.9	-14482.7	-36.2797	0.7972512	0.444545	0.394526	0.507178	0.552162	0.340986	0.172583	0.449088	0.418667	0.230484	0.320729	0.163039	0.201842	0.1614	0.152062	0.231502	0.224299	0.276318	0.209894	0.23573	0.180074	0.0175402	0.144981	0.294717	0.0237853	0.0157803	0.0245147	0.0398447	0.0171905	0.101192	0.0147477	0.0212641	0.0340509	0.00171422	0.0270133	0.0332115	0.00979896	0.025573	0.0193235	0.0126812	0.00970529	0.00305706	0.00287612	0.171066	0.110714	0.404968	0.0656805	0.0246916	0.374865	0.019081	0.0949737	0.406025	0.95619	2.54281	0.272003	0.384399	0.0797082	0.263889	0.4195867	6.932738
30	-14476	-14418.5	-57.4903	0.8471569	0.512449	0.511864	0.51437	0.679594	0.544279	0.182209	0.566069	0.735329	0.271177	0.322637	0.238321	0.25353	0.223018	0.278252	0.325168	0.302425	0.357201	0.211423	0.26331	0.274432	0.111613	0.158664	0.410446	0.0291681	0.00467166	0.0250027	0.0194314	0.0103403	0.341444	0.00580832	0.0101649	0.0299084	0.00203054	0.0138066	0.0219818	0.0107522	0.0618297	0.00830886	0.0173581	0.0145039	0.00783375	0.000604166	0.171066	0.112964	0.4132	0.060283	0.0115982	0.382485	0.0194689	0.105546	0.425449	0.969211	2.49979	0.272003	0.384399	0.0797082	0.263889	0.4195867	9.053795
40	-14438.4	-14375	-63.3945	0.7625157	0.612243	0.390723	0.575926	0.586325	0.489771	0.235247	0.624155	0.628727	0.331536	0.438408	0.265699	0.330263	0.293482	0.24186	0.428988	0.260115	0.292239	0.365577	0.31493	0.261321	0.20874	0.253886	0.524512	0.0129149	0.00485141	0.0153505	0.0138108	0.0391608	0.310135	0.00340461	0.0119559	0.0295249	0.000981663	0.0157859	0.0519063	0.00340059	0.0392438	0.0103411	0.00376156	0.0353965	0.0118055	0.000225483	0.0755816	0.10596	0.387579	0.0486635	0.0213864	0.413778	0.022634	0.0875614	0.391593	0.946002	2.57484	0.275457	0.38928	0.0680239	0.26724	0.4195867	9.644211
50	-14426.9	-14359.5	-67.3639	0.7373106	0.636364	0.558765	0.563886	0.547367	0.482429	0.189293	0.703034	0.743378	0.320851	0.412962	0.301598	0.342956	0.279407	0.267914	0.370889	0.344215	0.307846	0.310752	0.388928	0.288307	0.2279	0.266305	0.520361	0.0155313	0.00862621	0.0466336	0.00524642	0.0175039	0.309434	0.0109282	0.00585797	0.0498966	0.00176232	0.0234329	0.0318937	0.0011051	0.0314234	0.0162511	0.016231	0.0143823	0.0069808	0.000518792	0.0518045	0.100396	0.430697	0.0415009	0.01429	0.39924	0.013877	0.082169	0.380615	0.937947	2.59927	0.275457	0.38928	0.0680239	0.26724	0.4195867	10.04115
60	-14410.9	-14342.4	-68.5134	0.6643052	0.631813	0.522037	0.573454	0.555054	0.613748	0.214827	0.687943	0.621618	0.383202	0.425393	0.292865	0.367295	0.346268	0.339251	0.338419	0.314762	0.358308	0.300554	0.389572	0.275002	0.236183	0.294126	0.439539	0.0197513	0.00478832	0.0488724	0.0100879	0.00572562	0.381106	0.0141498	0.00443107	0.0195411	0.00229912	0.00991302	0.0109668	0.000597129	0.0157536	0.0358746	0.0155992	0.019857	0.00588744	0.00145488	0.00822132	0.0798561	0.437262	0.0436878	0.0308876	0.373261	0.0350456	0.0665863	0.34619	0.910887	2.67634	0.285042	0.38422	0.0669706	0.263767	0.3663714	10.15611
70	-14405.5	-14337.8	-67.6944	0.5813051	0.667803	0.578085	0.681008	0.555054	0.554948	0.176806	0.619547	0.632706	0.241572	0.410634	0.292937	0.306277	0.276355	0.273528	0.404737	0.366239	0.31083	0.350697	0.357556	0.278919	0.291173	0.295841	0.44598	0.0345995	0.00806486	0.0194005	0.015065	0.0164489	0.391724	0.0234424	0.000889226	0.0253339	0.00267848	0.0249808	0.0132725	0.000548308	0.0276728	0.0397255	0.00547205	0.0136828	0.0254197	0.00219421	0.0143604	0.0744233	0.407514	0.0407156	0.0360616	0.399393	0.0418927	0.0492765	0.301719	0.871473	2.77753	0.346528	0.355236	0.0603896	0.237847	0.3810899	10.07421
80	-14391.4	-14322.2	-69.1741	0.6307811	0.609433	0.517636	0.59454	0.54341	0.523773	0.195423	0.743624	0.639015	0.315933	0.444172	0.321174	0.250597	0.308983	0.329774	0.451984	0.389231	0.406308	0.301856	0.369294	0.319003	0.289498	0.275966	0.44244	0.00945502	0.0363736	0.0292608	0.0210591	0.00753698	0.359548	0.00820007	0.00222269	0.0258507	0.00190593	0.00673338	0.0206898	0.000569696	0.00631471	0.0226785	0.00349084	0.0123203	0.0155446	0.00465724	0.0446904	0.0663383	0.422703	0.0366311	0.0177705	0.414279	0.0422786	0.0595123	0.328956	0.896245	2.71529	0.337546	0.371948	0.0588243	0.231682	0.3810899	10.22217
90	-14386.5	-14311.4	-75.1254	0.5139499	0.802396	0.480282	0.59454	0.586959	0.566295	0.223654	0.743624	0.709249	0.348659	0.360686	0.291199	0.366925	0.335952	0.324225	0.399978	0.461929	0.434214	0.347896	0.412427	0.29778	0.235941	0.267819	0.592003	0.0196908	0.0304342	0.00916154	0.0314971	0.00634091	0.38457	0.00340595	0.00134782	0.0191025	0.00206737	0.00381195	0.00764642	0.00137435	0.0216715	0.0141245	0.00499817	0.0119789	0.0127426	0.0038773	0.0428259	0.0572893	0.378566	0.0316344	0.0489945	0.432557	0.0509586	0.0360015	0.260925	0.830159	2.87291	0.3302	0.368612	0.0600466	0.241141	0.3810899	10.8173
