Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-19876.5	-19861.3	-15.1949	1	0.379379	0.179044	0.00411193	0.101241	0.239786	0.214671	0.0677517	0.146677	0.0825213	0.00749129	0.0712336	0.0256287	0.153084	0.049761	0.00932255	0.30098	0.00642145	0.0752206	0.309731	0.0353054	0.020739	0.0696817	0.125835	0.0465351	0.0256004	0.0517238	0.201229	0.0669177	0.0176017	0.0140945	0.176797	0.110123	0.0758316	0.0618122	0.133773	0.306584	0.0830165	0.0346175	0.192802	0.0605317	0.212239	0.096475	0.180331	0.0261479	0.0706556	0.495178	0.00385963	0.202684	0.201475	0.136954	0.476752	1	2.38629	0.625556	0.182149	0.0953828	0.0969114	4.824254
10	-15484.1	-15461.9	-22.2474	0.4772926	0.246468	0.303899	0.0246395	0.194598	0.490401	0.303568	0.319995	0.475452	0.135995	0.0286157	0.0744938	0.0331143	0.314918	0.279969	0.0823085	0.196623	0.0153377	0.130578	0.141308	0.103598	0.028606	0.0897308	0.242884	0.0351642	0.0180695	0.17173	0.211076	0.0843688	0.0266717	0.0245457	0.0831262	0.0393747	0.022764	0.0232806	0.0261255	0.0436533	0.0267167	0.0260819	0.137412	0.0048864	0.100408	0.0461926	0.120755	0.102423	0.0472785	0.125963	0.00753174	0.581988	0.134815	0.0292602	0.236833	0.803016	2.93089	0.290938	0.353717	0.182054	0.173291	5.529503
20	-14778.6	-14745.2	-33.4326	0.3282205	0.272458	0.394108	0.0594763	0.205712	0.483571	0.219382	0.242714	0.475452	0.523457	0.14453	0.0997581	0.124175	0.280408	0.260178	0.272306	0.273235	0.0841484	0.175175	0.188562	0.105771	0.0299928	0.0700388	0.365498	0.0134971	0.0272652	0.166632	0.135502	0.0803035	0.0380864	0.198487	0.0869563	0.0229638	0.0177469	0.0226665	0.0119494	0.0306297	0.0609394	0.0432559	0.170007	0.00185363	0.09344	0.0108048	0.0649323	0.077065	0.11783	0.122535	0.00336353	0.606015	0.0731917	0.00786144	0.126552	0.640289	3.2253	0.300669	0.365548	0.154696	0.179087	6.648027
30	-14535.9	-14482.1	-53.8248	0.2902145	0.482113	0.444777	0.4761	0.315692	0.675568	0.324555	0.458598	0.503381	0.493782	0.307696	0.0758529	0.163023	0.325732	0.304376	0.32168	0.300522	0.258681	0.164667	0.348258	0.163546	0.0508153	0.0928742	0.468273	0.045987	0.0538348	0.132304	0.125431	0.0509453	0.0150224	0.22262	0.0124121	0.00623849	0.00980947	0.0126844	0.0302702	0.011111	0.0643284	0.0270763	0.136372	0.00143702	0.193364	0.0105163	0.00491824	0.0880716	0.120941	0.0842974	0.00418018	0.692567	0.0099429	0.00453516	0.0969075	0.578997	3.31956	0.316775	0.328337	0.162982	0.191907	8.687243
40	-14430.4	-14352.5	-77.9054	0.2748335	0.425607	0.62673	0.683693	0.304598	0.763547	0.563511	0.691535	0.751168	0.772846	0.442947	0.104379	0.2336	0.477658	0.360993	0.474169	0.457656	0.227457	0.26165	0.348258	0.197202	0.111468	0.138397	0.480976	0.046529	0.0157091	0.204812	0.0949369	0.0479423	0.0126917	0.215165	0.0108075	0.00868858	0.0458496	0.0156323	0.0136368	0.0240709	0.0973378	0.0343718	0.0393794	0.00773849	0.24782	0.00808925	0.00404791	0.0369234	0.155047	0.0845586	0.0206007	0.694714	0.00815645	0.00347632	0.0851222	0.551016	3.36039	0.371611	0.336447	0.095294	0.196647	11.0953
50	-14404.6	-14309.5	-95.0507	0.285977	0.563488	0.743501	0.775136	0.446234	0.68511	0.568142	0.698911	0.93065	0.859681	0.488622	0.132112	0.221194	0.384445	0.412978	0.454485	0.446803	0.439032	0.354333	0.513584	0.302284	0.336298	0.120665	0.722417	0.0408136	0.0212255	0.23243	0.08061	0.0310713	0.00693301	0.246261	0.0214629	0.0334789	0.0260685	0.00704474	0.0150575	0.0231004	0.124084	0.025156	0.0242542	0.0115962	0.210974	0.0261754	0.00193686	0.0372916	0.156593	0.0854017	0.0109329	0.70164	0.00814053	0.00422689	0.0936406	0.571484	3.33065	0.371611	0.336447	0.095294	0.196647	12.80984
60	-14393.3	-14284.2	-109.057	0.2561862	0.879346	0.76551	0.866644	0.545505	0.833613	0.750093	0.785241	1.10012	0.967001	0.483071	0.138478	0.243614	0.454272	0.412857	0.54389	0.46921	0.521379	0.288714	0.656503	0.315348	0.367754	0.140705	0.717141	0.022542	0.0236588	0.289186	0.0581931	0.0136714	0.0046073	0.108645	0.0267778	0.0180557	0.0106131	0.00920358	0.00653212	0.0138796	0.0801089	0.102137	0.0243358	0.018111	0.105586	0.0257053	0.00292635	0.0330156	0.138637	0.0756092	0.0123032	0.722097	0.0183373	0.00241269	0.0711925	0.514351	3.41204	0.371611	0.336447	0.095294	0.196647	14.21048
70	-14393	-14286.6	-106.46	0.2524279	0.890158	0.731684	0.865101	0.586628	0.982604	0.411666	0.572279	1.00005	0.948598	0.602314	0.245307	0.200501	0.38155	0.450996	0.59023	0.428988	0.383989	0.372423	0.576495	0.276086	0.343879	0.156978	0.873907	0.00764939	0.0461507	0.274914	0.0277072	0.0146461	0.00518448	0.193351	0.0253018	0.040069	0.00474174	0.0218579	0.00407605	0.00637823	0.159705	0.0795556	0.0135624	0.0117792	0.134483	0.00392743	0.0032618	0.0332239	0.139512	0.0760864	0.0119	0.726655	0.0126224	0.00222685	0.0684489	0.506578	3.42275	0.371611	0.336447	0.095294	0.196647	13.95072
80	-14382.7	-14288.1	-94.5956	0.250677	0.669727	0.573061	0.684221	0.586628	0.871141	0.536575	0.68364	0.992123	0.771247	0.432764	0.193774	0.268466	0.461965	0.382427	0.520986	0.472687	0.455178	0.271976	0.438227	0.300659	0.368669	0.11381	0.709538	0.00689565	0.0258483	0.193774	0.0629789	0.0113518	0.0239306	0.170382	0.0227184	0.0421798	0.00268006	0.00850213	0.0135917	0.00265534	0.165641	0.0806263	0.0105754	0.00725159	0.126333	0.0247574	0.00216439	0.0342324	0.10859	0.0783958	0.0162042	0.75246	0.0101177	0.00214346	0.0671793	0.502911	3.42777	0.379833	0.343891	0.0974023	0.178873	12.76432
90	-14381.7	-14284	-97.7076	0.2373428	0.783812	0.75135	0.684221	0.487144	0.857404	0.536575	0.66596	1.06902	0.77158	0.52468	0.229482	0.261007	0.538238	0.476625	0.553733	0.455833	0.418122	0.280565	0.415888	0.247476	0.330574	0.145356	0.540615	0.00808159	0.010844	0.263645	0.0256994	0.012298	0.0171882	0.210656	0.0230657	0.0379211	0.00452873	0.00770852	0.0327621	0.000789387	0.123738	0.106828	0.0115482	0.0039944	0.137181	0.00796011	0.00382903	0.0341307	0.11192	0.0724457	0.0189723	0.750225	0.0123062	0.00157342	0.0577138	0.474023	3.46669	0.379833	0.343891	0.0974023	0.178873	13.07552
