Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	0	-26228.8	-26223.3	-5.49264	0.328299	0.156105	0.0851783	0.0417128	0.187351	0.0559682	0.305916	0.0357177	0.112337	0.0259986	0.280372	0.254297	0.0354876	0.00512213	0.0199197	0.222926	0.278192	0.105002	0.0867931	0.0152753	0.34212	0.10604	0.0307406	0.0449484	0.0593844	0.051205	0.035074	0.181387	0.0658016	0.0526724	0.0473582	0.131502	0.187489	0.333435	0.0793001	0.526792	0.168616	0.180409	0.11591	0.0206701	0.0820353	0.0423137	0.172923	0.341	0.169494	0.117863	0.0165302	0.2534	0.101713	0.00149552	0.157247	0.574194	0.267063	5.696097
1	1	-27688.5	-27688.4	-0.157442	0.118111	0.102308	0.137645	0.0220053	0.032285	0.159715	0.0103354	0.00774775	0.0512268	0.139634	0.13348	0.276174	0.0049788	0.000635371	0.0294179	0.0155171	0.035231	0.0893513	0.11799	0.0107591	0.316484	0.0213126	0.574153	0.215923	0.00626314	0.277156	0.0402552	0.0467289	0.115621	0.262045	0.209161	0.0713377	0.502135	0.0651152	0.119379	0.035558	0.0464914	0.00183221	0.226867	0.0414201	0.31251	0.121367	0.0389139	0.0272716	0.283566	0.176663	0.358221	0.0444085	0.10987	0.0345484	0.624874	0.00654517	0.334033	5.162577
2	0	-17672.6	-17677.6	4.93674	0.274758	0.166627	0.173572	0.0860955	0.207191	0.218168	0.131518	0.137958	0.16842	0.0798555	0.280372	0.210643	0.153604	0.0152325	0.127829	0.146294	0.166706	0.166691	0.133186	0.0264452	0.160828	0.106135	0.130864	0.0787668	0.0265574	0.0259882	0.0486752	0.0470141	0.0649646	0.12977	0.099862	0.030281	0.0493038	0.176672	0.0191243	0.0894359	0.0480636	0.0622077	0.0474181	0.0287318	0.0510014	0.0116802	0.0486479	0.15534	0.215387	0.128593	0.0494142	0.322012	0.129254	0.118488	0.535796	0.0667223	0.278993	4.653159
3	1	-17989.6	-18013.1	23.501	0.134693	0.100772	0.0983592	0.146714	0.0679897	0.0834501	0.0195918	0.0663033	0.074108	0.14145	0.0985882	0.105847	0.0210211	0.00190482	0.0997855	0.0369587	0.0940833	0.0989998	0.089896	0.00772859	0.0821247	0.0398943	0.167596	0.0363565	0.027957	0.0519828	0.00734958	0.0338383	0.0976653	0.0549641	0.0510935	0.0425352	0.0495617	0.0240206	0.0887443	0.00978723	0.0264691	0.0015947	0.0983467	0.0747746	0.0582792	0.0597526	0.0238043	0.0951919	0.745467	0.0569118	2.4133e-06	0.075046	0.0273809	0.111836	0.329244	0.035746	0.523173	2.796737
4	0	-16678.2	-16690.4	12.1995	0.211409	0.14458	0.203283	0.158817	0.179254	0.159641	0.0964304	0.100237	0.179114	0.134332	0.125642	0.138968	0.127749	0.0793487	0.163635	0.144768	0.158589	0.112274	0.118215	0.0815035	0.133756	0.0988191	0.162739	0.0703055	0.0225495	0.016732	0.0246906	0.0310037	0.0360269	0.145281	0.0368401	0.0232587	0.0191778	0.0320574	0.00582378	0.0630236	0.0427007	0.0204627	0.0219621	0.0310605	0.0371507	0.0021414	0.0315269	0.222657	0.387885	0.0928218	0.0246986	0.23308	0.0388582	0.243722	0.366582	0.0798782	0.309818	3.926878
5	1	-16807.2	-16819.2	11.99	0.20926	0.20095	0.171494	0.200019	0.163722	0.13297	0.0289509	0.156424	0.141023	0.172202	0.11154	0.125292	0.0360866	0.0126136	0.159179	0.139027	0.213433	0.159527	0.143041	0.0488367	0.0921534	0.155856	0.17319	0.0558867	0.0406177	0.0258968	0.0121763	0.0587188	0.0402184	0.0398568	0.0187807	0.0635203	0.0469772	0.0280095	0.0718944	0.00693937	0.00713515	0.00077926	0.05426	0.107089	0.0261897	0.0293687	0.0667266	0.154227	0.411988	0.0922066	1.35318e-06	0.321338	0.0202392	0.247132	0.324782	0.108983	0.319102	3.947833
6	0	-16439.8	-16451.3	11.4814	0.211409	0.170102	0.186199	0.17899	0.19487	0.175282	0.106448	0.113292	0.199401	0.182274	0.0994089	0.151244	0.137288	0.143491	0.149326	0.143666	0.158589	0.124337	0.140598	0.163027	0.120017	0.101439	0.151341	0.0533361	0.0150324	0.00461795	0.0464256	0.0347348	0.0122661	0.141342	0.0211369	0.0168149	0.00927199	0.00550273	0.00917123	0.0125265	0.0257495	0.0121185	0.014174	0.0294542	0.00996815	0.00305364	0.0199614	0.209548	0.365047	0.0491931	0.0448318	0.308344	0.0230366	0.26804	0.235933	0.0988733	0.397154	3.998697
7	1	-16588.2	-16599.7	11.4797	0.203311	0.180007	0.221431	0.160345	0.167831	0.0932262	0.0352237	0.24087	0.133517	0.193082	0.139962	0.133279	0.0779772	0.0178345	0.140692	0.133223	0.226647	0.153885	0.150487	0.13142	0.0905585	0.144724	0.207393	0.0483213	0.0153736	0.0153819	0.0196675	0.0345249	0.0197408	0.0164254	0.0101247	0.0868102	0.0486088	0.0114141	0.0436041	0.00494178	0.0115735	0.0012733	0.0134069	0.110684	0.0218409	0.0120452	0.0761753	0.283814	0.3451	0.0780461	1.28291e-06	0.269167	0.0238707	0.228744	0.300616	0.100874	0.369766	3.998865
8	0	-16381.4	-16394.2	12.7312	0.229025	0.16436	0.212432	0.190742	0.17523	0.146409	0.110102	0.0849306	0.195681	0.152964	0.122226	0.124528	0.137288	0.131682	0.160121	0.117049	0.142893	0.15693	0.123499	0.141284	0.113847	0.10976	0.136841	0.080158	0.0129058	0.00548374	0.0292527	0.0376616	0.0135962	0.113327	0.0215019	0.00545427	0.0185558	0.0115452	0.0127686	0.00550839	0.016196	0.0139945	0.0176163	0.0357116	0.00494794	0.00141908	0.0362831	0.260831	0.319886	0.0829798	0.0459173	0.270199	0.0201867	0.217685	0.261585	0.107127	0.413604	3.87371
9	1	-16445.8	-16457.2	11.4347	0.191068	0.193282	0.218599	0.150087	0.144051	0.108921	0.0456351	0.199057	0.118952	0.219095	0.138226	0.14962	0.115733	0.0647724	0.120921	0.151291	0.194256	0.153885	0.14865	0.146185	0.0786978	0.154779	0.147706	0.0603837	0.0198156	0.0150135	0.0196918	0.0413083	0.00997329	0.0166003	0.00894635	0.0951003	0.0441106	0.0201172	0.0564568	0.00110861	0.0142023	0.00450724	0.0137699	0.130298	0.0183391	0.0106271	0.0495201	0.252983	0.307612	0.0695679	6.89118e-06	0.347933	0.0218963	0.233612	0.22772	0.161034	0.377634	4.003359
