Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-27688.5	-27688.4	-0.157442	0.118111	0.102308	0.137645	0.0220053	0.032285	0.159715	0.0103354	0.00774775	0.0512268	0.139634	0.13348	0.276174	0.0049788	0.000635371	0.0294179	0.0155171	0.035231	0.0893513	0.11799	0.0107591	0.316484	0.0213126	0.574153	0.215923	0.00626314	0.277156	0.0402552	0.0467289	0.115621	0.262045	0.209161	0.0713377	0.502135	0.0651152	0.119379	0.035558	0.0464914	0.00183221	0.226867	0.0414201	0.31251	0.121367	0.0389139	0.0272716	0.283566	0.176663	0.358221	0.0444085	0.10987	0.0345484	0.624874	0.00654517	0.334033	5.162577
10	-17989.6	-18013.1	23.501	0.134693	0.100772	0.0983592	0.146714	0.0679897	0.0834501	0.0195918	0.0663033	0.074108	0.14145	0.0985882	0.105847	0.0210211	0.00190482	0.0997855	0.0369587	0.0940833	0.0989998	0.089896	0.00772859	0.0821247	0.0398943	0.167596	0.0363565	0.027957	0.0519828	0.00734958	0.0338383	0.0976653	0.0549641	0.0510935	0.0425352	0.0495617	0.0240206	0.0887443	0.00978723	0.0264691	0.0015947	0.0983467	0.0747746	0.0582792	0.0597526	0.0238043	0.0951919	0.745467	0.0569118	2.4133e-06	0.075046	0.0273809	0.111836	0.329244	0.035746	0.523173	2.796737
20	-16807.2	-16819.2	11.99	0.20926	0.20095	0.171494	0.200019	0.163722	0.13297	0.0289509	0.156424	0.141023	0.172202	0.11154	0.125292	0.0360866	0.0126136	0.159179	0.139027	0.213433	0.159527	0.143041	0.0488367	0.0921534	0.155856	0.17319	0.0558867	0.0406177	0.0258968	0.0121763	0.0587188	0.0402184	0.0398568	0.0187807	0.0635203	0.0469772	0.0280095	0.0718944	0.00693937	0.00713515	0.00077926	0.05426	0.107089	0.0261897	0.0293687	0.0667266	0.154227	0.411988	0.0922066	1.35318e-06	0.321338	0.0202392	0.247132	0.324782	0.108983	0.319102	3.947833
30	-16588.2	-16599.7	11.4797	0.203311	0.180007	0.221431	0.160345	0.167831	0.0932262	0.0352237	0.24087	0.133517	0.193082	0.139962	0.133279	0.0779772	0.0178345	0.140692	0.133223	0.226647	0.153885	0.150487	0.13142	0.0905585	0.144724	0.207393	0.0483213	0.0153736	0.0153819	0.0196675	0.0345249	0.0197408	0.0164254	0.0101247	0.0868102	0.0486088	0.0114141	0.0436041	0.00494178	0.0115735	0.0012733	0.0134069	0.110684	0.0218409	0.0120452	0.0761753	0.283814	0.3451	0.0780461	1.28291e-06	0.269167	0.0238707	0.228744	0.300616	0.100874	0.369766	3.998865
40	-16445.8	-16457.2	11.4347	0.191068	0.193282	0.218599	0.150087	0.144051	0.108921	0.0456351	0.199057	0.118952	0.219095	0.138226	0.14962	0.115733	0.0647724	0.120921	0.151291	0.194256	0.153885	0.14865	0.146185	0.0786978	0.154779	0.147706	0.0603837	0.0198156	0.0150135	0.0196918	0.0413083	0.00997329	0.0166003	0.00894635	0.0951003	0.0441106	0.0201172	0.0564568	0.00110861	0.0142023	0.00450724	0.0137699	0.130298	0.0183391	0.0106271	0.0495201	0.252983	0.307612	0.0695679	6.89118e-06	0.347933	0.0218963	0.233612	0.22772	0.161034	0.377634	4.003359
50	-16330	-16344	14.0127	0.224973	0.182931	0.18747	0.155052	0.0965617	0.108144	0.148404	0.16433	0.117641	0.173019	0.120914	0.128248	0.0974583	0.101382	0.125734	0.135911	0.188642	0.153885	0.156195	0.121933	0.0866784	0.152949	0.170617	0.036028	0.0251528	0.0136195	0.0288253	0.0149753	0.00567549	0.0139688	0.00592708	0.0532692	0.0356325	0.0185098	0.0357313	0.000629228	0.0156508	0.012255	0.0090702	0.0641795	0.0064384	0.00435904	0.0465945	0.279711	0.280283	0.0701002	8.14197e-05	0.350596	0.0192285	0.231221	0.225389	0.159386	0.384004	3.745564
60	-16328.5	-16342.7	14.1406	0.198833	0.182931	0.206324	0.155052	0.0912762	0.103904	0.149196	0.214938	0.123073	0.184844	0.121998	0.101337	0.104587	0.0969852	0.126724	0.135911	0.172227	0.131502	0.159111	0.132474	0.0892675	0.151594	0.134745	0.0530224	0.0231438	0.0180379	0.0228511	0.00220974	0.00575033	0.0131506	0.0105878	0.0559183	0.0319291	0.00666131	0.0455947	8.60853e-05	0.00853322	0.0108877	0.0124672	0.0754504	0.00814086	0.00369352	0.0558192	0.278855	0.279425	0.0698857	2.61406e-05	0.349523	0.0222848	0.231628	0.221764	0.161928	0.38468	3.732769
70	-16301.3	-16314.8	13.4722	0.229105	0.189403	0.173202	0.175697	0.108162	0.087272	0.134571	0.224514	0.129544	0.208634	0.116177	0.127781	0.0834345	0.121037	0.131459	0.132634	0.167384	0.14963	0.102893	0.137385	0.0912834	0.168267	0.151851	0.0556187	0.0293727	0.00648349	0.0308316	0.00933848	0.0017512	0.00620605	0.0138658	0.0651571	0.0330685	0.00926518	0.0486391	0.000110615	0.0143711	0.0149047	0.0059876	0.0682248	0.00483062	0.00350737	0.0367598	0.279245	0.279816	0.0699833	0.00548608	0.350011	0.0154593	0.231628	0.221764	0.161928	0.38468	3.799615
80	-16264.7	-16280.2	15.5435	0.190794	0.19211	0.164016	0.16382	0.105793	0.0907211	0.135856	0.197726	0.139888	0.179823	0.116656	0.120963	0.0759326	0.146585	0.109732	0.136227	0.135843	0.125946	0.138788	0.135767	0.0898214	0.136637	0.127023	0.0428936	0.0211084	0.0108313	0.0255192	0.00957493	0.000814644	0.0104535	0.0131944	0.0678586	0.0418348	0.00681505	0.0357535	4.25146e-05	0.00790905	0.0134564	0.0187478	0.0679277	0.00201123	0.00167353	0.0375967	0.295346	0.221596	0.0740186	0.024147	0.370193	0.0146999	0.231628	0.221764	0.161928	0.38468	3.592484
90	-16257.5	-16273.3	15.801	0.202761	0.19211	0.175422	0.143387	0.115359	0.0922505	0.139205	0.198046	0.120568	0.179823	0.14462	0.120963	0.108571	0.125683	0.108248	0.129606	0.135671	0.111958	0.136847	0.138152	0.0906154	0.148767	0.154473	0.0523645	0.0174289	0.00736016	0.0279093	0.0110362	0.00109979	0.010901	0.0080154	0.0370881	0.0229763	0.00631171	0.0247449	4.12962e-05	0.00343672	0.00792833	0.00824095	0.0714599	0.000262603	0.00170757	0.0333188	0.292592	0.219529	0.0733283	0.0383262	0.36674	0.00948466	0.236122	0.214999	0.175935	0.372944	3.566735
