Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	0	-21595.4	-21609.6	14.1988	0.115817	0.0145106	0.0406289	0.029817	0.0482766	0.0583538	0.00919564	0.175521	0.228444	0.0263088	0.190943	0.0292457	0.401177	0.23317	0.0178351	0.0114472	0.111525	0.0717361	0.150684	0.0202275	0.150759	0.0327363	0.00149061	0.0659636	0.0664697	0.0364605	0.079474	0.0418917	0.00331985	0.0471249	0.0721885	0.0055954	0.00693575	0.00269316	0.00815409	0.0131366	0.00427136	0.19385	0.0102697	0.0755404	0.0640248	0.0264921	0.195135	0.6643679	0.348071	0.0934134	0.31562	0.242896	3.188842
1	1	-20812.8	-20822.3	9.42275	0.0925602	0.0713417	0.00226974	0.073084	0.209414	0.20548	0.0746972	0.0502123	0.0929878	0.0124175	0.154325	0.0351418	0.0246768	0.0649917	0.010836	0.00481296	0.465335	0.0349845	0.0119427	0.0225613	0.118012	0.0407146	0.167007	0.0982917	0.194915	0.12276	0.00468055	0.100403	0.0681207	0.0858733	0.0400941	0.000832926	0.182338	0.103706	0.031279	0.197425	0.012887	0.104757	0.0536508	0.0153343	0.0140109	0.0177428	0.124122	1.210061	0.351305	0.485059	0.0915413	0.0720941	3.61303
2	0	-17573	-17574.7	1.72537	0.230873	0.207948	0.232413	0.0541706	0.220066	0.167951	0.0964775	0.256384	0.227927	0.166405	0.172612	0.0876378	0.111007	0.148055	0.0385213	0.0406298	0.150654	0.188334	0.140652	0.112999	0.114245	0.114576	0.00301301	0.0225225	0.0521512	0.0207699	0.05018	0.0478884	0.00461045	0.12793	0.0417118	0.0327677	0.0352199	0.00497474	0.00899493	0.0391264	0.0210047	0.0828312	0.00211542	0.0656994	0.128114	0.0353898	0.147427	2.70026	0.262084	0.3589	0.0588353	0.320181	4.254981
3	1	-17870.2	-17874.6	4.3755	0.149965	0.189355	0.00835127	0.218456	0.213322	0.168479	0.183812	0.182939	0.212015	0.0430263	0.144075	0.0835355	0.130371	0.124767	0.0240699	0.0273592	0.351545	0.0563947	0.0194473	0.0368011	0.0917742	0.138805	0.19513	0.0516987	0.0743058	0.0623349	0.00312364	0.0709591	0.0861602	0.109628	0.0454975	0.00110696	0.0562161	0.0387123	0.00531922	0.167297	0.0372479	0.0448249	0.0240765	0.0131926	0.0368751	0.0351134	0.028274	2.757569	0.28989	0.270606	0.0845539	0.35495	3.98576
4	0	-17140.6	-17143.3	2.75896	0.189027	0.176133	0.196355	0.0865369	0.176931	0.229083	0.174795	0.228539	0.188948	0.166203	0.1107	0.120091	0.111007	0.160687	0.160469	0.157615	0.185958	0.131342	0.141418	0.163759	0.11119	0.109533	0.0227933	0.0119502	0.0397155	0.0113189	0.0250558	0.0220321	0.00979362	0.109912	0.0367482	0.015428	0.0327739	0.0137725	0.00428967	0.0223788	0.0356829	0.0240601	0.0137808	0.044884	0.0777175	0.0323657	0.0767273	2.594595	0.272551	0.338906	0.095149	0.293394	4.159499
5	1	-17146	-17148.5	2.49286	0.161123	0.202493	0.0156647	0.18379	0.196792	0.142345	0.219272	0.182939	0.176161	0.154241	0.147405	0.130067	0.160938	0.142125	0.126478	0.163678	0.159774	0.0747597	0.0749733	0.217166	0.113972	0.140479	0.19513	0.0175061	0.0591505	0.0344884	0.00229073	0.0206142	0.0944106	0.115749	0.0310368	0.00438415	0.0266564	0.0262287	0.00677204	0.0681515	0.048857	0.0181526	0.0127114	0.0120897	0.0704262	0.0121131	0.0223476	2.597348	0.263522	0.331242	0.0825707	0.322665	4.185902
6	0	-16883.5	-16886.3	2.74995	0.189027	0.203124	0.173505	0.165618	0.172598	0.176822	0.187967	0.217796	0.142484	0.184457	0.12449	0.0935726	0.139699	0.1459	0.17672	0.148238	0.162141	0.180035	0.144081	0.136518	0.140608	0.123104	0.124208	0.0143796	0.0349901	0.0241226	0.0197652	0.0101099	0.0269099	0.0295897	0.0290765	0.0203001	0.0804456	0.0100244	0.0033344	0.0233609	0.0251278	0.0209552	0.0052457	0.0157466	0.0783704	0.0172642	0.0195639	2.581402	0.257222	0.319845	0.0897976	0.333135	4.161395
7	1	-17002.2	-17005.9	3.71011	0.140045	0.182215	0.0362017	0.206804	0.19839	0.127989	0.275227	0.187827	0.156978	0.130008	0.158182	0.123837	0.139805	0.118164	0.119333	0.138665	0.156414	0.122167	0.167345	0.204411	0.101593	0.139811	0.200574	0.00982189	0.0336493	0.0393237	0.0129448	0.0152188	0.0322767	0.10651	0.034509	0.00187055	0.00792223	0.0385799	0.00966579	0.0125565	0.0241806	0.0125578	0.00275919	0.00928494	0.0816786	0.00974725	0.033365	2.647664	0.261903	0.329206	0.0882092	0.320682	4.060409
8	0	-16854.7	-16855.3	0.589081	0.198657	0.195262	0.175642	0.174316	0.165257	0.212234	0.163642	0.20776	0.185475	0.216248	0.138675	0.139354	0.120479	0.126624	0.186977	0.148238	0.162141	0.16649	0.176974	0.157846	0.135079	0.153443	0.194292	0.00800953	0.0498186	0.0239639	0.0281824	0.00828225	0.0218115	0.0160719	0.0332991	0.0194829	0.0751682	0.00358777	0.00856782	0.0185088	0.0288234	0.0221873	0.00583637	0.0121936	0.0586874	0.0246512	0.00536779	2.632997	0.257787	0.31835	0.0899949	0.333867	4.373607
9	1	-16936.8	-16939.5	2.69688	0.131518	0.184436	0.0695598	0.192525	0.19839	0.157687	0.26758	0.20184	0.187222	0.140878	0.154852	0.112895	0.153175	0.111026	0.135696	0.151863	0.171697	0.145082	0.200228	0.18993	0.128783	0.151216	0.197877	0.0201098	0.0175586	0.0165807	0.0135464	0.00618752	0.0220003	0.0797537	0.0265346	0.000885035	0.0110175	0.0474544	0.0144176	0.00702415	0.0338879	0.0139455	0.00513288	0.00907122	0.0571385	0.00916778	0.0143633	2.647664	0.261903	0.329206	0.0882092	0.320682	4.161732
