Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-20812.8	-20822.3	9.42275	0.0925602	0.0713417	0.00226974	0.073084	0.209414	0.20548	0.0746972	0.0502123	0.0929878	0.0124175	0.154325	0.0351418	0.0246768	0.0649917	0.010836	0.00481296	0.465335	0.0349845	0.0119427	0.0225613	0.118012	0.0407146	0.167007	0.0982917	0.194915	0.12276	0.00468055	0.100403	0.0681207	0.0858733	0.0400941	0.000832926	0.182338	0.103706	0.031279	0.197425	0.012887	0.104757	0.0536508	0.0153343	0.0140109	0.0177428	0.124122	1.210061	0.351305	0.485059	0.0915413	0.0720941	3.61303
10	-17870.2	-17874.6	4.3755	0.149965	0.189355	0.00835127	0.218456	0.213322	0.168479	0.183812	0.182939	0.212015	0.0430263	0.144075	0.0835355	0.130371	0.124767	0.0240699	0.0273592	0.351545	0.0563947	0.0194473	0.0368011	0.0917742	0.138805	0.19513	0.0516987	0.0743058	0.0623349	0.00312364	0.0709591	0.0861602	0.109628	0.0454975	0.00110696	0.0562161	0.0387123	0.00531922	0.167297	0.0372479	0.0448249	0.0240765	0.0131926	0.0368751	0.0351134	0.028274	2.757569	0.28989	0.270606	0.0845539	0.35495	3.98576
20	-17146	-17148.5	2.49286	0.161123	0.202493	0.0156647	0.18379	0.196792	0.142345	0.219272	0.182939	0.176161	0.154241	0.147405	0.130067	0.160938	0.142125	0.126478	0.163678	0.159774	0.0747597	0.0749733	0.217166	0.113972	0.140479	0.19513	0.0175061	0.0591505	0.0344884	0.00229073	0.0206142	0.0944106	0.115749	0.0310368	0.00438415	0.0266564	0.0262287	0.00677204	0.0681515	0.048857	0.0181526	0.0127114	0.0120897	0.0704262	0.0121131	0.0223476	2.597348	0.263522	0.331242	0.0825707	0.322665	4.185902
30	-17002.2	-17005.9	3.71011	0.140045	0.182215	0.0362017	0.206804	0.19839	0.127989	0.275227	0.187827	0.156978	0.130008	0.158182	0.123837	0.139805	0.118164	0.119333	0.138665	0.156414	0.122167	0.167345	0.204411	0.101593	0.139811	0.200574	0.00982189	0.0336493	0.0393237	0.0129448	0.0152188	0.0322767	0.10651	0.034509	0.00187055	0.00792223	0.0385799	0.00966579	0.0125565	0.0241806	0.0125578	0.00275919	0.00928494	0.0816786	0.00974725	0.033365	2.647664	0.261903	0.329206	0.0882092	0.320682	4.060409
40	-16936.8	-16939.5	2.69688	0.131518	0.184436	0.0695598	0.192525	0.19839	0.157687	0.26758	0.20184	0.187222	0.140878	0.154852	0.112895	0.153175	0.111026	0.135696	0.151863	0.171697	0.145082	0.200228	0.18993	0.128783	0.151216	0.197877	0.0201098	0.0175586	0.0165807	0.0135464	0.00618752	0.0220003	0.0797537	0.0265346	0.000885035	0.0110175	0.0474544	0.0144176	0.00702415	0.0338879	0.0139455	0.00513288	0.00907122	0.0571385	0.00916778	0.0143633	2.647664	0.261903	0.329206	0.0882092	0.320682	4.161732
50	-16902.5	-16903.7	1.21563	0.170778	0.184436	0.15716	0.194361	0.18305	0.162397	0.242756	0.163183	0.187198	0.140878	0.191569	0.131244	0.155552	0.150485	0.116171	0.136839	0.148749	0.227418	0.167563	0.218665	0.11945	0.151762	0.247191	0.00981254	0.0140115	0.0115292	0.0205149	0.00999475	0.0135382	0.0326993	0.0205932	0.00193148	0.00434308	0.0453554	0.00827686	0.0207229	0.0318127	0.00700903	0.00251241	0.0152187	0.0702439	0.0115153	0.0054347	2.700673	0.261903	0.329206	0.0882092	0.320682	4.305925
60	-16901.1	-16900.8	-0.376061	0.173678	0.195268	0.173942	0.192805	0.214462	0.159514	0.260336	0.197114	0.215778	0.139448	0.166001	0.117349	0.148985	0.109864	0.140563	0.147631	0.198216	0.220397	0.175279	0.219956	0.139973	0.173623	0.190434	0.0115316	0.0224238	0.0225937	0.00898729	0.0117106	0.0158755	0.0474841	0.0197862	0.00676551	0.00716003	0.0690928	0.0139654	0.0178438	0.025727	0.00773776	0.00375557	0.00747594	0.0503545	0.0140629	0.0101446	2.700673	0.258296	0.324673	0.0869945	0.330036	4.465094
70	-16909.8	-16909.9	0.0685625	0.142948	0.207255	0.156708	0.171463	0.221955	0.17542	0.269209	0.176454	0.241453	0.151106	0.166001	0.144509	0.161663	0.118576	0.136185	0.160316	0.198216	0.210678	0.154559	0.184203	0.133888	0.204909	0.207779	0.00812826	0.0113569	0.0227605	0.00640491	0.00884373	0.00873871	0.0632768	0.0123407	0.00237372	0.00236516	0.0411834	0.00769846	0.0315269	0.0208809	0.0098812	0.00717648	0.013451	0.0416924	0.00878934	0.00333237	2.60635	0.255636	0.321329	0.096399	0.326637	4.427655
80	-16897.5	-16899.5	1.98945	0.150432	0.196415	0.146799	0.227902	0.198011	0.13568	0.281975	0.170819	0.171173	0.15	0.160363	0.120747	0.12025	0.140768	0.115525	0.138222	0.164876	0.181972	0.203141	0.211317	0.131181	0.165914	0.19576	0.00485468	0.0182412	0.0221767	0.0101723	0.00566759	0.00614166	0.0395481	0.00813675	0.0079155	0.00371132	0.0515246	0.014229	0.0294287	0.0204711	0.0198471	0.00289589	0.0126785	0.0627709	0.0131267	0.00278617	2.60635	0.27252	0.288064	0.100132	0.339285	4.235566
90	-16896.8	-16899	2.17919	0.180113	0.155383	0.149648	0.221826	0.193342	0.152919	0.214281	0.170819	0.193445	0.155533	0.175471	0.120065	0.122737	0.126921	0.115525	0.138222	0.188946	0.187586	0.161678	0.229322	0.159172	0.139248	0.17624	0.016748	0.0270552	0.0132746	0.00935978	0.00955232	0.0101947	0.0487551	0.0171313	0.0117313	0.00721405	0.036931	0.0107592	0.0384383	0.0245353	0.0112041	0.00392857	0.0112414	0.0682447	0.00385949	0.00799377	2.60635	0.276541	0.292314	0.0868548	0.344291	4.216593
100	-16896.8	-16898.3	1.43808	0.144381	0.19711	0.163453	0.221826	0.222584	0.150301	0.268833	0.180745	0.206215	0.12661	0.14097	0.110146	0.117972	0.120856	0.122648	0.138216	0.171172	0.206866	0.19932	0.192729	0.139382	0.149832	0.199353	0.0106022	0.018686	0.0207877	0.026664	0.00470178	0.00645934	0.0454345	0.0266142	0.0113988	0.00595357	0.0451672	0.00413731	0.0217294	0.0239915	0.0150798	0.00130162	0.0144919	0.0616493	0.0108748	0.0074677	2.82351	0.268639	0.295371	0.0878307	0.348159	4.274714
110	-16892.4	-16894.2	1.75924	0.196659	0.192563	0.138531	0.211004	0.213856	0.167833	0.260087	0.184728	0.169823	0.155436	0.163178	0.14591	0.113276	0.112323	0.127469	0.136185	0.175297	0.206866	0.161694	0.205868	0.120379	0.143557	0.191126	0.0096195	0.0276661	0.0243462	0.00917054	0.00235024	0.00476174	0.0495438	0.0265405	0.0216893	0.0035173	0.0452885	0.00832345	0.0212816	0.0221809	0.00955597	0.000819806	0.00997179	0.0364402	0.0080067	0.0116384	2.771588	0.272053	0.299125	0.0978181	0.331004	4.246363
120	-16893.3	-16895.1	1.82234	0.167502	0.193897	0.161144	0.204314	0.178148	0.162876	0.235752	0.175539	0.202118	0.16709	0.17252	0.127989	0.130481	0.124769	0.141771	0.160236	0.205505	0.189885	0.143548	0.178444	0.118887	0.155236	0.203207	0.0206834	0.0204786	0.0263541	0.00605215	0.00179564	0.0154912	0.0413409	0.0140583	0.0179432	0.00222027	0.0462812	0.00882257	0.0107144	0.040046	0.00629303	0.000649637	0.00790281	0.0370566	0.0102393	0.00477153	2.771588	0.272053	0.299125	0.0978181	0.331004	4.240053
130	-16893.3	-16895	1.60904	0.205089	0.199991	0.170408	0.193598	0.178148	0.138694	0.255852	0.175539	0.174469	0.16709	0.205371	0.127989	0.120386	0.133207	0.127748	0.160236	0.172916	0.189885	0.158988	0.18576	0.147144	0.154267	0.18743	0.0181366	0.0205717	0.0216002	0.00481396	0.0017945	0.00746964	0.0459862	0.0123589	0.0141195	0.00106524	0.0405587	0.00557708	0.0230717	0.0172017	0.0056487	0.000369693	0.00775615	0.0706438	0.00808545	0.00434934	2.771588	0.277007	0.295522	0.0904409	0.33703	4.261384
140	-16890	-16891.1	1.02024	0.183057	0.195749	0.151542	0.200066	0.225216	0.168526	0.256946	0.159622	0.19803	0.130165	0.18447	0.136309	0.155865	0.144148	0.113624	0.139933	0.176965	0.216755	0.159408	0.204353	0.132293	0.139697	0.213034	0.0127816	0.00666861	0.0313869	0.0116569	0.00115484	0.00713839	0.0453155	0.0130652	0.0108851	0.00252769	0.0388893	0.00224525	0.0371122	0.0243509	0.00952123	0.000491408	0.00641858	0.0553699	0.00715442	0.0106882	2.76704	0.279516	0.298199	0.09126	0.331026	4.320595
150	-16892.2	-16892.9	0.717141	0.176022	0.218816	0.170475	0.180028	0.201945	0.16428	0.24166	0.159622	0.187417	0.151631	0.18447	0.133432	0.155729	0.144148	0.115482	0.165734	0.182094	0.205075	0.181083	0.204353	0.132293	0.138616	0.232168	0.0157636	0.0141471	0.0207931	0.0124661	0.000732302	0.00267089	0.0344303	0.0103262	0.019881	0.00135631	0.0352376	0.00110311	0.0156045	0.0322273	0.0121882	0.000604809	0.00476345	0.0645713	0.00580154	0.0124696	2.866559	0.279642	0.298333	0.0908501	0.331175	4.343712
160	-16895.1	-16895.3	0.230999	0.203194	0.195372	0.174899	0.201059	0.207397	0.16428	0.24166	0.156459	0.195427	0.17867	0.176708	0.129248	0.172112	0.12018	0.118638	0.156976	0.198903	0.226194	0.158808	0.18875	0.132577	0.15271	0.224028	0.0123442	0.0181834	0.0239769	0.0287703	0.00267257	0.00280696	0.0287547	0.00859949	0.0170474	0.00425591	0.0361267	0.00244735	0.0163691	0.0318423	0.0142175	0.00108094	0.00101754	0.0464279	0.0137466	0.0177926	2.723151	0.27933	0.298001	0.0918639	0.330806	4.402732
170	-16899.3	-16901.4	2.05092	0.172942	0.198266	0.1271	0.203323	0.178318	0.165384	0.24166	0.153175	0.153694	0.132414	0.187438	0.129248	0.156923	0.109619	0.143703	0.138745	0.192542	0.206214	0.156958	0.216936	0.148384	0.142207	0.203355	0.0247717	0.018733	0.0208907	0.0116001	0.00346725	0.00192458	0.0425227	0.0176162	0.027271	0.00387545	0.0363197	0.000861173	0.0169804	0.0251844	0.0215013	0.00121388	0.000990595	0.0518908	0.0159618	0.0165484	2.75131	0.277864	0.299557	0.0913817	0.331197	4.218675
180	-16894.1	-16895.8	1.71877	0.149285	0.186886	0.144396	0.210991	0.199468	0.176311	0.23898	0.170831	0.159807	0.187031	0.149259	0.13662	0.129822	0.140196	0.12515	0.163127	0.192542	0.198357	0.190167	0.20533	0.102391	0.134518	0.190731	0.0177955	0.0182348	0.0188512	0.0163727	0.00696884	0.00147375	0.0571268	0.020346	0.0204271	0.00702496	0.0404416	0.00125689	0.0203798	0.0216484	0.0142156	0.00266319	0.00223092	0.073493	0.00554136	0.0135685	2.611339	0.273016	0.301568	0.0919952	0.333421	4.26226
190	-16894.6	-16896.1	1.47407	0.18811	0.19047	0.161668	0.179989	0.202622	0.147315	0.239498	0.160261	0.198391	0.16031	0.163443	0.138926	0.129822	0.16879	0.117693	0.153775	0.172285	0.198357	0.175746	0.182826	0.127832	0.147512	0.202799	0.0090178	0.00959526	0.0330146	0.0261849	0.0157218	0.00152869	0.0400956	0.0153185	0.0238012	0.00847169	0.0305768	0.00400496	0.020069	0.0317612	0.0135777	0.000806827	0.00118716	0.0722789	0.0109641	0.0103132	2.611339	0.277875	0.289137	0.0936326	0.339355	4.28673
200	-16893.7	-16894.6	0.891201	0.184209	0.182073	0.162464	0.20207	0.202622	0.158321	0.27554	0.196794	0.2037	0.151122	0.165355	0.107171	0.141319	0.16879	0.124257	0.153801	0.180298	0.193034	0.159267	0.205323	0.138523	0.178058	0.209873	0.00920305	0.00268259	0.0309374	0.0179694	0.00359846	0.000956673	0.0313574	0.0139598	0.00692833	0.00904274	0.0340588	0.00379115	0.0129348	0.0221485	0.0176458	0.00129796	0.000819175	0.065148	0.00781535	0.00873786	2.611339	0.27909	0.288651	0.0934751	0.338785	4.345017
210	-16891.5	-16893.8	2.29316	0.186797	0.19062	0.179249	0.207481	0.18814	0.171381	0.214783	0.166471	0.188284	0.14097	0.154846	0.119219	0.106093	0.143729	0.126776	0.15693	0.187933	0.191124	0.165179	0.19413	0.138523	0.176967	0.170692	0.012011	0.0007376	0.0336013	0.0153517	0.00803558	0.000562081	0.0387014	0.0110288	0.00515939	0.00241526	0.0450106	0.00445372	0.0177643	0.0267345	0.0138183	0.0006459	0.00212057	0.0674108	0.0120235	0.0130061	2.717827	0.266032	0.294919	0.0929065	0.346142	4.196907
220	-16896.4	-16898	1.65486	0.143075	0.163073	0.141325	0.213879	0.207708	0.152292	0.246112	0.147407	0.181847	0.170658	0.159881	0.155889	0.122476	0.129667	0.133342	0.139283	0.169961	0.247616	0.176573	0.218762	0.132166	0.176967	0.178718	0.0179213	0.00328813	0.024236	0.0203498	0.00609475	0.000477541	0.0387924	0.0175381	0.00289405	0.00758014	0.0577451	0.00953104	0.0179572	0.0270155	0.0135138	0.00358409	0.00162879	0.0565145	0.0152956	0.0100999	2.717827	0.27116	0.281329	0.0946973	0.352814	4.260737
230	-16896.1	-16897	0.905472	0.165396	0.176945	0.167258	0.213646	0.234984	0.14069	0.262878	0.137848	0.181847	0.135326	0.156333	0.139341	0.122476	0.126466	0.127278	0.139283	0.190563	0.247616	0.176239	0.197715	0.121166	0.162305	0.205397	0.0229367	0.0224607	0.0147278	0.0137111	0.00303942	0.000950877	0.0575616	0.0177617	0.0198485	0.00458781	0.0662762	0.00663343	0.0179271	0.0240153	0.0129197	0.006906	0.00312544	0.0506284	0.015041	0.0200275	2.794379	0.269877	0.302422	0.0942493	0.333452	4.330083
240	-16897.2	-16899.1	1.93985	0.199014	0.150501	0.152486	0.188197	0.198541	0.131445	0.253174	0.177705	0.184657	0.14701	0.155519	0.107225	0.135222	0.126668	0.142484	0.15813	0.175944	0.203514	0.176755	0.222587	0.136779	0.163083	0.187237	0.0167722	0.00726527	0.0134791	0.0222845	0.0173047	0.00658277	0.0301571	0.0151531	0.00819596	0.00742928	0.0421575	0.0174259	0.020298	0.0320775	0.0112557	0.00699007	0.00572153	0.0564118	0.00644735	0.0069741	2.827303	0.271615	0.30437	0.0884166	0.335599	4.224263
250	-16895.6	-16898	2.42993	0.166148	0.187334	0.130461	0.188211	0.192834	0.167265	0.235235	0.191702	0.184657	0.148915	0.161927	0.135482	0.117322	0.147222	0.13091	0.124524	0.176673	0.209296	0.156465	0.199602	0.114058	0.150559	0.186661	0.0211263	0.00836351	0.0128474	0.0138999	0.006592	0.0114121	0.0453806	0.0241569	0.0111758	0.00615409	0.0385115	0.0159939	0.0284507	0.028905	0.0113116	0.00274184	0.00117681	0.0541082	0.0232597	0.00389602	2.859663	0.260363	0.309071	0.0897824	0.340783	4.172928
260	-16893.7	-16894.1	0.411311	0.170729	0.187334	0.129829	0.196556	0.199013	0.163431	0.254401	0.157756	0.181135	0.154997	0.1918	0.144131	0.139752	0.13133	0.149748	0.168533	0.199193	0.198073	0.178879	0.224472	0.147184	0.138606	0.212343	0.0200345	0.0131653	0.0171339	0.0273428	0.00845516	0.0144936	0.0556737	0.016412	0.00953074	0.00138825	0.0398652	0.00829415	0.0177903	0.0245494	0.0161768	0.00258285	0.00175649	0.0592461	0.0111089	0.00125669	2.712553	0.264396	0.31189	0.0906013	0.333112	4.385481
