Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
0	0	-19404.4	-19412.9	8.47093	0.0775223	0.121371	0.0204186	0.0450759	0.0238593	0.0136083	0.119674	0.0389248	0.0407919	0.0747337	0.0632979	0.243254	0.178183	0.0115164	0.071562	0.065658	0.37758	0.0652039	0.0829326	0.0677741	0.180273	0.10681	0.0312048	0.0365875	0.143073	0.161242	0.147652	0.119084	0.0581066	0.332138	0.10422	0.0229113	0.0548876	0.0506238	0.0203078	0.00545357	0.168736	0.0268338	0.00135832	0.0230107	0.0115634	0.0269512	0.00584436	3.641815
1	1	-19990.2	-20004	13.7193	0.177916	0.00166922	0.0287232	0.00368852	0.103045	0.0428991	0.049389	0.0197415	0.0427179	0.0277449	0.0235477	0.0335441	0.0320414	0.016934	0.102995	0.218196	0.0504894	0.0367572	0.180869	0.00492218	0.0726028	0.119666	0.0527925	0.0413924	0.199886	0.0701662	0.185161	0.0398725	0.0025476	0.0647391	0.0776424	0.122362	0.101436	0.0492609	0.0366443	0.0397319	0.267552	0.0708702	0.040366	0.0289576	0.162472	0.0409832	0.0320467	3.116979
2	0	-16837.7	-16847	9.37917	0.102699	0.11384	0.042671	0.0942173	0.120558	0.113037	0.124871	0.0634077	0.119284	0.170234	0.0979345	0.181692	0.130502	0.0143788	0.111079	0.0999564	0.154433	0.121718	0.146768	0.0890318	0.0872452	0.201617	0.121466	0.0459337	0.113197	0.101076	0.0980897	0.0505754	0.0342825	0.0602497	0.0642376	0.0189439	0.0280395	0.0471158	0.0267316	0.0114805	0.112282	0.0211706	0.0121774	0.0207598	0.0187129	0.0311884	0.0121082	3.550991
3	1	-16579.5	-16591.1	11.635	0.244061	0.0156447	0.0492257	0.00819017	0.211743	0.0946659	0.0688902	0.0370594	0.108264	0.110394	0.112981	0.0918829	0.0920513	0.0333224	0.128289	0.166563	0.106396	0.123711	0.153114	0.0242965	0.0819661	0.0999277	0.144049	0.0551401	0.167371	0.07482	0.098175	0.0404338	0.0162687	0.0450345	0.0634068	0.0713698	0.0316482	0.0284883	0.0305681	0.0269874	0.0557114	0.0116747	0.0337558	0.0519208	0.0655216	0.0301613	0.020266	3.325411
4	0	-15888.2	-15900.5	12.305	0.150088	0.0814822	0.0581921	0.100031	0.135537	0.0873414	0.131503	0.0797191	0.107611	0.197284	0.0771584	0.0724013	0.0898757	0.0989388	0.141594	0.121661	0.111865	0.113021	0.121126	0.0940656	0.0823059	0.118753	0.133603	0.0431555	0.039005	0.0688573	0.0205	0.0374404	0.0426057	0.0471056	0.0315649	0.0161954	0.0431234	0.0384808	0.024246	0.0213331	0.0687788	0.036842	0.0306867	0.0581511	0.017517	0.0482124	0.0194442	3.258404
5	1	-15902.7	-15915.7	12.998	0.154886	0.0311453	0.049422	0.0566926	0.121543	0.0707455	0.111638	0.0700884	0.104782	0.20229	0.0676748	0.0747342	0.0988812	0.0846753	0.118259	0.159158	0.10397	0.0991651	0.138051	0.0903025	0.104229	0.0952306	0.184407	0.0330395	0.0504005	0.0502051	0.0512147	0.0295699	0.0407708	0.0266111	0.0435394	0.0393757	0.0202515	0.030052	0.034664	0.116091	0.0201272	0.0116694	0.0491117	0.0702992	0.0205177	0.0173955	0.0422332	3.189108
6	0	-15804.5	-15817.3	12.7553	0.136205	0.0901817	0.0794278	0.109498	0.118381	0.0701714	0.115242	0.0765231	0.0870332	0.158135	0.0789006	0.0956768	0.0875965	0.104242	0.131445	0.119156	0.135177	0.11684	0.128651	0.0788045	0.112335	0.101032	0.152813	0.0380135	0.0375343	0.0730592	0.0351874	0.0396152	0.0395493	0.0363512	0.0277163	0.0187001	0.036892	0.0349565	0.0290376	0.0254532	0.0501865	0.0355986	0.0400799	0.0513913	0.0342195	0.0267646	0.0196015	3.213375
7	1	-15816.4	-15828.9	12.5126	0.139495	0.0790514	0.0990772	0.104184	0.101189	0.0723311	0.119334	0.0897386	0.103307	0.153183	0.0905503	0.0833315	0.10667	0.0867417	0.118641	0.105506	0.12736	0.127725	0.113904	0.0636859	0.0825455	0.109886	0.158954	0.0403201	0.0275397	0.0221153	0.0307882	0.0492983	0.0337563	0.0199692	0.0216217	0.0434094	0.023372	0.0297069	0.0310934	0.10252	0.0566709	0.0251284	0.0504254	0.0747153	0.0248653	0.0240255	0.0699126	3.237647
8	0	-15800.4	-15813.5	13.1213	0.115541	0.0834028	0.0858685	0.111206	0.118381	0.0927126	0.11826	0.0906681	0.0870332	0.194707	0.0720133	0.0789577	0.102947	0.110272	0.112392	0.11802	0.135177	0.103778	0.123726	0.0743878	0.0946112	0.0875866	0.165127	0.0376068	0.0453654	0.0805714	0.0149899	0.0201711	0.038071	0.0162947	0.0243299	0.00989575	0.0293211	0.0277035	0.0390556	0.0191998	0.0518863	0.0302788	0.0569042	0.0448125	0.0477381	0.0452435	0.0205618	3.176779
9	1	-15818.5	-15831.4	12.9067	0.139495	0.106847	0.113209	0.0920658	0.130029	0.0894158	0.135966	0.0937988	0.085687	0.149236	0.062034	0.0749321	0.0984597	0.0875604	0.0993425	0.111349	0.152088	0.130471	0.122714	0.0841313	0.116256	0.0650402	0.146554	0.0327842	0.019994	0.0146048	0.0403711	0.0596512	0.0382223	0.0153241	0.0407245	0.0440983	0.0306858	0.0338025	0.0376424	0.0706742	0.0674397	0.0212182	0.0320792	0.0362182	0.00569745	0.0192937	0.0510262	3.198235
