Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
0	-19404.4	-19412.9	8.47093	0.0775223	0.121371	0.0204186	0.0450759	0.0238593	0.0136083	0.119674	0.0389248	0.0407919	0.0747337	0.0632979	0.243254	0.178183	0.0115164	0.071562	0.065658	0.37758	0.0652039	0.0829326	0.0677741	0.180273	0.10681	0.0312048	0.0365875	0.143073	0.161242	0.147652	0.119084	0.0581066	0.332138	0.10422	0.0229113	0.0548876	0.0506238	0.0203078	0.00545357	0.168736	0.0268338	0.00135832	0.0230107	0.0115634	0.0269512	0.00584436	3.641815
10	-16837.7	-16847	9.37917	0.102699	0.11384	0.042671	0.0942173	0.120558	0.113037	0.124871	0.0634077	0.119284	0.170234	0.0979345	0.181692	0.130502	0.0143788	0.111079	0.0999564	0.154433	0.121718	0.146768	0.0890318	0.0872452	0.201617	0.121466	0.0459337	0.113197	0.101076	0.0980897	0.0505754	0.0342825	0.0602497	0.0642376	0.0189439	0.0280395	0.0471158	0.0267316	0.0114805	0.112282	0.0211706	0.0121774	0.0207598	0.0187129	0.0311884	0.0121082	3.550991
20	-15888.2	-15900.5	12.305	0.150088	0.0814822	0.0581921	0.100031	0.135537	0.0873414	0.131503	0.0797191	0.107611	0.197284	0.0771584	0.0724013	0.0898757	0.0989388	0.141594	0.121661	0.111865	0.113021	0.121126	0.0940656	0.0823059	0.118753	0.133603	0.0431555	0.039005	0.0688573	0.0205	0.0374404	0.0426057	0.0471056	0.0315649	0.0161954	0.0431234	0.0384808	0.024246	0.0213331	0.0687788	0.036842	0.0306867	0.0581511	0.017517	0.0482124	0.0194442	3.258404
30	-15804.5	-15817.3	12.7553	0.136205	0.0901817	0.0794278	0.109498	0.118381	0.0701714	0.115242	0.0765231	0.0870332	0.158135	0.0789006	0.0956768	0.0875965	0.104242	0.131445	0.119156	0.135177	0.11684	0.128651	0.0788045	0.112335	0.101032	0.152813	0.0380135	0.0375343	0.0730592	0.0351874	0.0396152	0.0395493	0.0363512	0.0277163	0.0187001	0.036892	0.0349565	0.0290376	0.0254532	0.0501865	0.0355986	0.0400799	0.0513913	0.0342195	0.0267646	0.0196015	3.213375
40	-15800.4	-15813.5	13.1213	0.115541	0.0834028	0.0858685	0.111206	0.118381	0.0927126	0.11826	0.0906681	0.0870332	0.194707	0.0720133	0.0789577	0.102947	0.110272	0.112392	0.11802	0.135177	0.103778	0.123726	0.0743878	0.0946112	0.0875866	0.165127	0.0376068	0.0453654	0.0805714	0.0149899	0.0201711	0.038071	0.0162947	0.0243299	0.00989575	0.0293211	0.0277035	0.0390556	0.0191998	0.0518863	0.0302788	0.0569042	0.0448125	0.0477381	0.0452435	0.0205618	3.176779
50	-15807.7	-15820.4	12.7106	0.117921	0.110497	0.084159	0.138104	0.0932824	0.0959884	0.121789	0.0825414	0.107378	0.162038	0.0805232	0.080212	0.118081	0.0912309	0.112451	0.119639	0.100031	0.0916383	0.150016	0.0578344	0.108072	0.0839649	0.156387	0.0339289	0.0396891	0.0889442	0.0338775	0.0185458	0.0466714	0.0147383	0.0311487	0.0160365	0.0380569	0.0318028	0.0351107	0.0256297	0.0463637	0.0378381	0.0492293	0.0619184	0.0397518	0.0446481	0.0201359	3.217845
60	-15807.4	-15820.5	13.0991	0.139813	0.102417	0.113608	0.0812875	0.108645	0.0959884	0.121327	0.0768105	0.0852051	0.203126	0.0840511	0.0628342	0.0995951	0.0983233	0.11379	0.121618	0.125659	0.131929	0.122171	0.0723839	0.0735254	0.0682166	0.161696	0.0304303	0.0333709	0.056719	0.0330729	0.0213654	0.0629763	0.0150912	0.0226831	0.0243982	0.0151638	0.0305706	0.0370675	0.0352014	0.0504358	0.030098	0.0679855	0.0493963	0.0398822	0.0362272	0.0228387	3.178995
70	-15802.4	-15815.9	13.5674	0.128605	0.0991989	0.114257	0.0896123	0.107724	0.089945	0.127076	0.0860318	0.10288	0.148224	0.0880191	0.0777348	0.0998111	0.0809943	0.108457	0.123415	0.103072	0.123461	0.115414	0.082429	0.0759987	0.0633725	0.143299	0.0397176	0.0209414	0.0716365	0.0338493	0.0204708	0.0346959	0.0169394	0.0306243	0.0256347	0.0302765	0.0423015	0.0401677	0.0327602	0.0521464	0.0338034	0.0518574	0.0644743	0.0556195	0.0406641	0.0145602	3.132173
80	-15807	-15819.7	12.7012	0.128605	0.0991989	0.0788174	0.113962	0.102843	0.0758257	0.117601	0.0774016	0.0880799	0.158921	0.0901719	0.0828871	0.100834	0.101248	0.110683	0.139587	0.123383	0.129558	0.115414	0.09799	0.107663	0.0945135	0.135776	0.0160656	0.0372549	0.105227	0.0348657	0.0169525	0.0593799	0.0193771	0.0336907	0.0223513	0.0324497	0.0410055	0.0283266	0.0319812	0.0339909	0.0305733	0.0486705	0.0558549	0.0339768	0.0502602	0.0155666	3.218785
90	-15799.9	-15812.1	12.245	0.149341	0.104622	0.0999404	0.114209	0.133196	0.0830151	0.125531	0.0733237	0.0988382	0.162366	0.0692263	0.0884461	0.0870876	0.10414	0.11584	0.144751	0.131953	0.120181	0.0963374	0.0902205	0.0848798	0.0945135	0.160111	0.0248944	0.0352091	0.0698095	0.0295701	0.0269374	0.0471312	0.0153259	0.0246603	0.0126082	0.0310094	0.0352375	0.0410215	0.0246629	0.0507879	0.0403607	0.0607666	0.0621428	0.0539682	0.035723	0.0105142	3.26441
