Iteration	Replicate_ID	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	0	-20074.7	-20074	-0.68284	0.0982995	0.111244	0.00801296	0.0648831	0.107576	0.0405238	0.0534586	0.106935	0.0180546	0.057976	0.524932	0.0967914	0.302455	0.082403	0.0773025	0.00310842	0.0419483	0.137332	0.0222692	0.00391644	0.394873	0.0899993	0.0154466	0.279649	0.113261	0.0501897	0.0352746	0.0318397	0.133359	0.0489395	0.00666769	0.377663	0.029715	0.0347568	0.23421	0.155326	0.0892509	0.105239	0.00116213	0.169492	0.204658	0.0235207	0.152453	0.150949	0.351527	0.171509	0.326015	4.736368
1	1	-23466.2	-23470.6	4.44004	0.519294	0.0985668	0.0317868	0.042876	0.112658	0.197624	0.0512191	0.321332	0.0100267	0.0420164	0.0139347	0.152566	0.0741377	0.181735	0.0999421	0.106644	0.0193822	0.00116246	0.0361722	0.0813666	0.0473298	0.026511	0.0150056	0.366172	0.0280893	0.298399	0.0905218	0.0287688	0.0103563	0.145415	0.0953412	0.047357	0.0193915	0.0211423	0.0442506	0.0409528	0.178384	0.0342512	0.0381899	0.182616	0.00989645	0.0395474	0.221749	0.241437	0.257225	0.462426	0.0389117	4.22408
2	0	-18161.7	-18165.2	3.58029	0.153866	0.131291	0.00801296	0.134885	0.160989	0.191999	0.214161	0.169362	0.0357922	0.113279	0.236168	0.138076	0.253734	0.167328	0.194849	0.00660493	0.114338	0.174544	0.0567272	0.00906253	0.15629	0.209985	0.150447	0.128794	0.0266764	0.0627207	0.120836	0.0228286	0.0530412	0.0406954	0.0202691	0.10677	0.0616617	0.0271781	0.171363	0.07248	0.0734685	0.00514007	0.000447775	0.0422037	0.0379664	0.0161726	0.0375527	0.269101	0.301192	0.106861	0.322845	4.310055
3	1	-18002.9	-18012.6	9.71747	0.191282	0.163113	0.0652353	0.0968112	0.221946	0.157655	0.103553	0.179367	0.125812	0.171213	0.0578433	0.104876	0.134516	0.154967	0.180677	0.13129	0.0443385	0.0102469	0.0645703	0.14398	0.153691	0.0921561	0.189729	0.0671726	0.0115556	0.0903425	0.0220392	0.0524106	0.0183137	0.0156195	0.0523682	0.0533029	0.0179958	0.0227687	0.0373139	0.0198745	0.0690831	0.00735759	0.0440405	0.0444269	0.0339237	0.0509672	0.0265917	0.16127	0.411376	0.112361	0.314993	3.696337
4	0	-17431	-17436.6	5.5434	0.174999	0.131291	0.0481596	0.135609	0.175136	0.204576	0.194802	0.158515	0.216176	0.150723	0.145657	0.135497	0.103569	0.134685	0.176373	0.0469902	0.129279	0.190492	0.165491	0.055877	0.105972	0.236377	0.238234	0.0494028	0.00827716	0.0606218	0.048779	0.0112928	0.0491317	0.0341133	0.00818452	0.0179795	0.116755	0.0380251	0.0454916	0.0277882	0.037021	0.00724036	0.000300858	0.00960403	0.0354465	0.0106719	0.0431359	0.218463	0.35928	0.105009	0.317249	4.113744
5	1	-17525	-17531	6.013	0.218051	0.163113	0.210775	0.18084	0.212606	0.178432	0.206969	0.173806	0.233559	0.171213	0.136323	0.110942	0.134516	0.1427	0.150043	0.131927	0.124334	0.013201	0.156157	0.153313	0.134245	0.139156	0.182851	0.0212414	0.00800389	0.0277734	0.00669343	0.0292198	0.0252204	0.0155332	0.0210522	0.0192287	0.00920458	0.00463953	0.0249787	0.0143004	0.0459084	0.00666869	0.0190361	0.00654455	0.0181057	0.0657554	0.0186033	0.204338	0.329387	0.0899664	0.376309	4.066784
6	0	-17219.4	-17224.9	5.52782	0.192665	0.166424	0.173558	0.191337	0.162593	0.197718	0.208234	0.159528	0.20917	0.168211	0.143415	0.125632	0.106954	0.122518	0.163489	0.147764	0.137736	0.184404	0.205958	0.0762602	0.149572	0.123534	0.191985	0.0316609	0.00422034	0.0675205	0.020984	0.00224302	0.0228841	0.0208133	0.00456388	0.0123751	0.0420121	0.0210545	0.0503569	0.0137359	0.0148013	0.01491	0.000337496	0.0189511	0.0138862	0.013249	0.0160833	0.237245	0.297617	0.114037	0.351101	4.115302
7	1	-17406.2	-17412.2	5.9527	0.219651	0.182674	0.210775	0.171244	0.178941	0.178432	0.197376	0.163384	0.234266	0.168219	0.139109	0.120452	0.137057	0.12313	0.161506	0.131927	0.15373	0.0743633	0.156157	0.149578	0.14919	0.136724	0.166143	0.0209937	0.0141401	0.0310753	0.00110524	0.00979738	0.0281513	0.019831	0.00687508	0.0242978	0.0173337	0.00614046	0.0257537	0.012295	0.0366794	0.00440234	0.0175614	0.00376552	0.0192313	0.0582259	0.0111314	0.213781	0.34461	0.0941244	0.347485	4.072814
8	0	-17211.6	-17217.3	5.73612	0.189553	0.135236	0.194839	0.218148	0.162593	0.161189	0.208234	0.202051	0.20917	0.164034	0.161225	0.143394	0.106954	0.117668	0.166892	0.133626	0.131625	0.139203	0.207909	0.0939135	0.133544	0.134845	0.161772	0.0324522	0.0113271	0.0574629	0.0124473	0.00424849	0.0412724	0.00647713	0.000660401	0.0163074	0.0495868	0.0174619	0.0484206	0.00595008	0.015525	0.0276279	0.000999599	0.00828666	0.0196875	0.0181498	0.0225052	0.211563	0.307213	0.101692	0.379532	4.094472
9	1	-17368.4	-17373.3	4.92343	0.212229	0.182674	0.251097	0.180401	0.180591	0.173858	0.197376	0.178989	0.173353	0.192752	0.139109	0.131255	0.128383	0.14946	0.146747	0.137648	0.160051	0.138238	0.172528	0.149578	0.14919	0.155053	0.188455	0.00670987	0.0114734	0.0252733	0.00366767	0.0275487	0.011456	0.0277814	0.0149779	0.0303756	0.0105515	0.00763117	0.0185785	0.00595651	0.0122806	0.00470745	0.0191856	0.00664496	0.0235949	0.0293567	0.00897409	0.229422	0.326895	0.0945664	0.349117	4.175741
10	0	-17213.9	-17221	7.17618	0.189553	0.179354	0.163591	0.195492	0.146673	0.202623	0.219484	0.198781	0.222745	0.142302	0.114587	0.124593	0.107345	0.114827	0.166892	0.125885	0.126888	0.143111	0.152538	0.0925194	0.145053	0.125846	0.179791	0.018256	0.00523533	0.0483836	0.0354401	0.00124629	0.0264302	0.00651946	0.00158754	0.0168146	0.0436619	0.0149817	0.0411075	0.0174292	0.0156746	0.0136143	0.00390882	0.00968922	0.0205967	0.00436271	0.0250513	0.212286	0.308263	0.0986228	0.380829	3.950466
11	1	-17375.4	-17381.1	5.67883	0.201522	0.189663	0.200278	0.180401	0.199846	0.165171	0.2035	0.204463	0.200119	0.175526	0.120709	0.120061	0.158476	0.133468	0.176434	0.131232	0.143029	0.12843	0.163201	0.13456	0.168147	0.157984	0.181645	0.0043652	0.00351752	0.0289729	0.00349066	0.0193506	0.00837559	0.0163985	0.0104294	0.024172	0.0123492	0.00913748	0.0194458	0.00691541	0.00729572	0.00280112	0.0276552	0.00536449	0.0130866	0.0332203	0.00599183	0.229422	0.326895	0.0945664	0.349117	4.100201
12	0	-17204.4	-17211	6.57059	0.198278	0.140402	0.1695	0.199554	0.158647	0.204308	0.232324	0.170822	0.222895	0.176956	0.126652	0.108737	0.120335	0.128988	0.18239	0.139284	0.131746	0.134501	0.182025	0.0799134	0.121758	0.124821	0.1767	0.0364796	0.00817695	0.050958	0.0166217	0.0014469	0.0318333	0.0087098	0.00034966	0.0117135	0.0470246	0.0177353	0.0413035	0.00917718	0.00959481	0.0355105	0.0125824	0.00526286	0.00922846	0.00459267	0.02119	0.226903	0.302542	0.0967927	0.373762	4.011025
13	1	-17380.4	-17383.3	2.86622	0.208634	0.201489	0.209676	0.227615	0.22063	0.174435	0.186667	0.205303	0.185785	0.158003	0.137457	0.154437	0.125228	0.142347	0.18656	0.148518	0.171048	0.148827	0.186962	0.178698	0.159667	0.174421	0.192498	0.00328128	0.00381457	0.0292463	0.00290294	0.0181449	0.0112924	0.0299506	0.0177978	0.0181666	0.00584203	0.00897273	0.0365257	0.0161246	0.0119555	0.00494056	0.0317	0.00358291	0.0123405	0.0192789	0.010694	0.222211	0.334201	0.0866686	0.35692	4.381461
14	0	-17196.5	-17203.2	6.69491	0.194594	0.147381	0.173972	0.185016	0.163846	0.183502	0.235007	0.180564	0.212583	0.155627	0.130049	0.132157	0.114493	0.128988	0.159242	0.141842	0.112731	0.139488	0.193065	0.0887163	0.148904	0.12056	0.18304	0.0373859	0.0107197	0.0458814	0.0175816	0.00129513	0.0230931	0.00651666	0.0006707	0.0198231	0.02629	0.0246028	0.0336935	0.00955102	0.00567778	0.0146815	0.0247488	0.00866802	0.0236415	0.0102723	0.0284318	0.241099	0.296987	0.0950153	0.366899	3.998593
15	1	-17382.1	-17385.3	3.19985	0.23404	0.201489	0.254687	0.227904	0.209342	0.198108	0.199063	0.180484	0.183341	0.152507	0.134241	0.126276	0.106402	0.167532	0.154156	0.159267	0.141363	0.160446	0.195451	0.132156	0.131395	0.174817	0.206118	0.00373815	0.0100753	0.0289901	0.000835942	0.0230878	0.018799	0.0198224	0.0200852	0.0255864	0.00735441	0.00393362	0.0225784	0.00919343	0.0140328	0.00114224	0.0385286	0.00541836	0.020917	0.0281668	0.0152261	0.225133	0.338597	0.0878084	0.348462	4.348099
16	0	-17202.5	-17208.8	6.31967	0.210729	0.165999	0.173972	0.164527	0.149469	0.177968	0.191513	0.180564	0.200062	0.16975	0.153385	0.149422	0.114493	0.140582	0.159242	0.140616	0.133093	0.143015	0.185014	0.0837146	0.144094	0.123035	0.174676	0.0166586	0.0184088	0.0696647	0.0238514	0.00108704	0.0161929	0.00710649	0.000398259	0.0139116	0.0442061	0.0131756	0.0372037	0.0216959	0.00712739	0.0264835	0.0196041	0.0129463	0.0152711	0.0232404	0.018947	0.241099	0.296987	0.0950153	0.366899	4.036117
17	1	-17378.9	-17383.1	4.19518	0.23404	0.194255	0.225386	0.170328	0.209342	0.182911	0.199063	0.200049	0.174134	0.176009	0.10457	0.151122	0.125839	0.135713	0.175796	0.15606	0.161398	0.13907	0.182011	0.153194	0.124775	0.186635	0.189572	0.00979669	0.00948947	0.0300503	0.00271324	0.0113256	0.0177685	0.0257664	0.00823506	0.0231538	0.00569971	0.00938778	0.0266195	0.0107431	0.0161472	0.00107552	0.0301067	0.0140468	0.016695	0.0151814	0.0132939	0.223559	0.33623	0.094185	0.346026	4.248566
18	0	-17213.4	-17218.3	4.85978	0.211098	0.165999	0.175905	0.205761	0.137098	0.163465	0.203733	0.211011	0.23984	0.172595	0.159004	0.151639	0.131533	0.136954	0.134839	0.123631	0.158699	0.151481	0.229657	0.0775343	0.136453	0.134992	0.204483	0.0206447	0.0199339	0.0390266	0.02023	0.00114022	0.0254012	0.0114498	0.00172139	0.0096045	0.0313369	0.024346	0.0392594	0.0291121	0.00242249	0.0214953	0.00720927	0.0056233	0.0225919	0.0185752	0.0135778	0.240794	0.29661	0.0961623	0.366434	4.182106
19	1	-17385.3	-17390.1	4.79229	0.199054	0.21958	0.230579	0.21757	0.199695	0.164783	0.17194	0.185755	0.17142	0.168879	0.117936	0.136446	0.123804	0.112614	0.192385	0.156955	0.165153	0.136512	0.184865	0.147973	0.12959	0.15277	0.202631	0.0104055	0.00664663	0.0317567	0.00151485	0.00730573	0.01754	0.0212535	0.0066958	0.00728052	0.00946959	0.0102126	0.0373862	0.0199491	0.0111771	0.00252342	0.0134966	0.0110646	0.0260306	0.0333363	0.0149204	0.223559	0.33623	0.094185	0.346026	4.188855
20	0	-17203.9	-17211.1	7.17362	0.189331	0.15818	0.186257	0.186465	0.149824	0.17764	0.229193	0.182476	0.189632	0.138355	0.132549	0.111348	0.11344	0.121375	0.148643	0.109537	0.124663	0.151481	0.222881	0.0960205	0.114496	0.130686	0.211359	0.0243736	0.00889015	0.0532848	0.0269595	0.00155315	0.0264672	0.00609995	0.000708177	0.0144853	0.0278643	0.0329763	0.0293999	0.0062107	0.00441253	0.0261791	0.00666235	0.017401	0.0246041	0.0199803	0.016377	0.221697	0.322958	0.0878745	0.36747	3.950721
