Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	0	-19876.5	-19861.3	-15.1949	1	0.379379	0.179044	0.00411193	0.101241	0.239786	0.214671	0.0677517	0.146677	0.0825213	0.00749129	0.0712336	0.0256287	0.153084	0.049761	0.00932255	0.30098	0.00642145	0.0752206	0.309731	0.0353054	0.020739	0.0696817	0.125835	0.0465351	0.0256004	0.0517238	0.201229	0.0669177	0.0176017	0.0140945	0.176797	0.110123	0.0758316	0.0618122	0.133773	0.306584	0.0830165	0.0346175	0.192802	0.0605317	0.212239	0.096475	0.180331	0.0261479	0.0706556	0.495178	0.00385963	0.202684	0.201475	0.136954	0.476752	1	2.38629	0.625556	0.182149	0.0953828	0.0969114	4.824254
1	1	-25732.5	-25720.4	-12.0871	1	0.0635415	0.0353267	0.124315	0.243379	0.237257	0.0832577	0.282325	0.0459365	0.223317	0.278416	0.0355396	0.0528659	0.0435639	0.521648	0.238855	0.0821131	0.359849	0.0538316	0.083215	0.0382948	0.023794	0.165121	0.0258567	0.00684593	0.0329251	0.0545652	0.018759	0.00527214	0.0651926	0.00490774	0.0485134	0.0816072	0.0320837	0.000656748	0.275682	0.127298	0.100846	0.0153056	0.0725524	0.0550484	0.0991964	0.0147346	0.0598607	0.377954	0.0586652	0.152378	0.112419	0.0892307	0.209353	0.136954	0.476752	1	2.38629	0.0256336	0.0100465	0.860435	0.103885	4.513472
2	0	-15484.1	-15461.9	-22.2474	0.4772926	0.246468	0.303899	0.0246395	0.194598	0.490401	0.303568	0.319995	0.475452	0.135995	0.0286157	0.0744938	0.0331143	0.314918	0.279969	0.0823085	0.196623	0.0153377	0.130578	0.141308	0.103598	0.028606	0.0897308	0.242884	0.0351642	0.0180695	0.17173	0.211076	0.0843688	0.0266717	0.0245457	0.0831262	0.0393747	0.022764	0.0232806	0.0261255	0.0436533	0.0267167	0.0260819	0.137412	0.0048864	0.100408	0.0461926	0.120755	0.102423	0.0472785	0.125963	0.00753174	0.581988	0.134815	0.0292602	0.236833	0.803016	2.93089	0.290938	0.353717	0.182054	0.173291	5.529503
3	1	-16196.6	-16186	-10.6053	0.3313243	0.146071	0.203189	0.292497	0.201438	0.191915	0.188124	0.259178	0.112248	0.272349	0.218941	0.125171	0.140501	0.156342	0.173917	0.187744	0.124045	0.186049	0.101179	0.182974	0.122999	0.0341145	0.119589	0.0362657	0.0100079	0.035901	0.00593576	0.047743	0.0306518	0.0187514	0.00791805	0.00592854	0.0187573	0.00612423	0.00165767	0.177767	0.0672794	0.0178157	0.011585	0.0448211	0.0148154	0.036396	0.0171261	0.0114709	0.206356	0.000153549	0.13498	0.00834303	0.464718	0.185449	0.008177	0.128981	0.644845	3.218	0.298691	0.159581	0.242431	0.299298	4.365294
4	0	-14778.6	-14745.2	-33.4326	0.3282205	0.272458	0.394108	0.0594763	0.205712	0.483571	0.219382	0.242714	0.475452	0.523457	0.14453	0.0997581	0.124175	0.280408	0.260178	0.272306	0.273235	0.0841484	0.175175	0.188562	0.105771	0.0299928	0.0700388	0.365498	0.0134971	0.0272652	0.166632	0.135502	0.0803035	0.0380864	0.198487	0.0869563	0.0229638	0.0177469	0.0226665	0.0119494	0.0306297	0.0609394	0.0432559	0.170007	0.00185363	0.09344	0.0108048	0.0649323	0.077065	0.11783	0.122535	0.00336353	0.606015	0.0731917	0.00786144	0.126552	0.640289	3.2253	0.300669	0.365548	0.154696	0.179087	6.648027
5	1	-15439.5	-15415.7	-23.7953	0.2821442	0.372462	0.220224	0.348817	0.257735	0.300081	0.295908	0.308568	0.125569	0.347993	0.226128	0.183148	0.18586	0.175459	0.176158	0.239348	0.181383	0.18983	0.177001	0.161923	0.102192	0.237228	0.0794818	0.387168	0.00937909	0.0203379	0.00209197	0.0784223	0.0483594	0.0216454	0.0170651	0.00509286	0.00999285	0.00258983	0.00187252	0.0843361	0.0325154	0.00423729	0.00656646	0.0134069	0.00999549	0.0104365	0.0060275	0.0202649	0.0550189	0.000466294	0.329753	0.00255691	0.368244	0.24396	0.00395892	0.0906978	0.564561	3.34078	0.220442	0.371289	0.17892	0.22935	5.6843
6	0	-14535.9	-14482.1	-53.8248	0.2902145	0.482113	0.444777	0.4761	0.315692	0.675568	0.324555	0.458598	0.503381	0.493782	0.307696	0.0758529	0.163023	0.325732	0.304376	0.32168	0.300522	0.258681	0.164667	0.348258	0.163546	0.0508153	0.0928742	0.468273	0.045987	0.0538348	0.132304	0.125431	0.0509453	0.0150224	0.22262	0.0124121	0.00623849	0.00980947	0.0126844	0.0302702	0.011111	0.0643284	0.0270763	0.136372	0.00143702	0.193364	0.0105163	0.00491824	0.0880716	0.120941	0.0842974	0.00418018	0.692567	0.0099429	0.00453516	0.0969075	0.578997	3.31956	0.316775	0.328337	0.162982	0.191907	8.687243
7	1	-14945.8	-14898.7	-47.1717	0.26861	0.517394	0.395391	0.504316	0.419073	0.489741	0.391659	0.365496	0.200865	0.517522	0.309158	0.169843	0.231458	0.282618	0.324049	0.346898	0.332798	0.333805	0.229027	0.231487	0.146196	0.281806	0.122985	0.387168	0.0529865	0.0125154	0.00103692	0.110138	0.0950804	0.00901547	0.036912	0.0046471	0.00867496	0.00360414	0.00123573	0.0379807	0.0336877	0.00585	0.0033794	0.0207713	0.00695198	0.026429	0.00157942	0.018705	0.0191205	0.0147472	0.175249	0.00105786	0.596319	0.193506	0.00309481	0.0804213	0.539124	3.37736	0.293665	0.336414	0.162114	0.207807	8.021934
8	0	-14430.4	-14352.5	-77.9054	0.2748335	0.425607	0.62673	0.683693	0.304598	0.763547	0.563511	0.691535	0.751168	0.772846	0.442947	0.104379	0.2336	0.477658	0.360993	0.474169	0.457656	0.227457	0.26165	0.348258	0.197202	0.111468	0.138397	0.480976	0.046529	0.0157091	0.204812	0.0949369	0.0479423	0.0126917	0.215165	0.0108075	0.00868858	0.0458496	0.0156323	0.0136368	0.0240709	0.0973378	0.0343718	0.0393794	0.00773849	0.24782	0.00808925	0.00404791	0.0369234	0.155047	0.0845586	0.0206007	0.694714	0.00815645	0.00347632	0.0851222	0.551016	3.36039	0.371611	0.336447	0.095294	0.196647	11.0953
9	1	-14585.6	-14517	-68.5562	0.2652106	0.643492	0.417611	0.564698	0.533085	0.717692	0.504927	0.632476	0.703322	0.552054	0.41655	0.288907	0.302694	0.336993	0.2837	0.387097	0.386522	0.318207	0.191482	0.258524	0.191932	0.231898	0.0949916	0.654105	0.0817438	0.0102792	0.00168758	0.125905	0.0604581	0.0132139	0.0271192	0.000882857	0.0116127	0.0248208	0.00232826	0.0457691	0.0540764	0.00741215	0.00743794	0.0317114	0.00454583	0.0196682	0.00416754	0.012578	0.0296501	0.285287	0.0639154	0.000221229	0.514401	0.106525	0.00289771	0.0778739	0.532484	3.38674	0.42523	0.302635	0.119261	0.152875	10.16038
