Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
0	-25423.7	-25416.3	-7.32729	1	0.143465	0.020857	0.0154296	0.237799	0.277596	0.00976164	0.00138417	0.0533437	0.0438776	0.161104	0.122112	0.00134752	0.0585193	0.110494	0.0228368	0.0403004	0.187981	0.0529999	0.125717	0.0510922	0.00246368	0.221271	0.10981	0.0199436	0.183919	0.0101893	0.100094	0.110765	0.0197753	0.0219641	0.335366	0.141967	0.163272	0.0497563	0.241618	0.138812	0.10527	0.00692921	0.0122154	0.0927506	0.169444	0.0372743	0.00460742	0.230582	0.229083	0.0756478	0.157981	0.0253376	0.28137	0.136954	0.476752	1	2.38629	0.000322293	0.149243	0.385261	0.465174	0.3723263	4.037494
10	-18924.4	-18917.5	-6.86748	1.134062	0.151842	0.211155	0.0239412	0.237799	0.180767	0.0297184	0.0105753	0.158626	0.151346	0.198361	0.126974	0.00748944	0.134534	0.105977	0.0773532	0.109	0.193079	0.123521	0.198832	0.218683	0.00558355	0.185534	0.228085	0.0145397	0.0842706	0.0052349	0.0466378	0.050231	0.0190036	0.00546341	0.0864082	0.0994082	0.0521405	0.0409715	0.124345	0.0943026	0.0738719	0.00911076	0.010056	0.0363928	0.0536162	0.0132307	0.00350286	0.272479	0.182806	0.0856223	0.0200616	0.106536	0.332495	0.1629	0.513645	1.01909	2.30436	0.00452723	0.301921	0.247284	0.446268	0.4555598	3.991513
20	-15257.2	-15249.1	-8.15745	0.7928997	0.13483	0.207776	0.0843647	0.283786	0.194495	0.164855	0.0308864	0.19026	0.246285	0.165955	0.124681	0.0358322	0.124834	0.0871901	0.150301	0.154095	0.175944	0.150152	0.294439	0.132251	0.0247503	0.160158	0.186312	0.0170513	0.0394144	0.00317814	0.0417833	0.0250662	0.0065776	0.000917678	0.0388744	0.0944406	0.01591	0.0268086	0.158119	0.0218193	0.0638947	0.00364139	0.00474822	0.0189594	0.0187295	0.0106897	0.00545426	0.322836	0.369705	0.146654	0.0222037	0.138601	5.71444e-08	0.094047	0.40426	0.954968	2.54673	0.18665	0.413703	0.0923302	0.307317	0.4113784	4.12051
30	-14687.3	-14674.3	-13.0016	0.8731558	0.172826	0.233462	0.186577	0.283786	0.257727	0.209948	0.0838766	0.325208	0.271031	0.219813	0.106006	0.0517852	0.167443	0.0979944	0.205359	0.147638	0.17973	0.15378	0.197442	0.140459	0.0876325	0.140824	0.22954	0.0431302	0.0165908	0.00393762	0.0518496	0.00652042	0.00604955	0.000438532	0.00639949	0.0718518	0.0224997	0.0116488	0.135482	0.0131323	0.0150243	0.00846971	0.00577241	0.00269445	0.0171028	0.0085936	0.00785369	0.204212	0.389525	0.119107	0.00726406	0.279892	1.09893e-08	0.111004	0.435001	0.975332	2.47866	0.207139	0.392389	0.108988	0.291484	0.4113784	4.604929
40	-14607.1	-14587.2	-19.8929	1.21033	0.194073	0.275018	0.139591	0.27302	0.354514	0.275266	0.103289	0.325208	0.310004	0.202508	0.139389	0.13257	0.163242	0.123438	0.230857	0.208608	0.24788	0.175671	0.207553	0.168585	0.154653	0.150308	0.283778	0.0269913	0.0106573	0.00406153	0.0716551	0.00152938	0.0114702	0.000852428	0.0116474	0.0573566	0.0155531	0.00851312	0.181618	0.0104799	0.0082887	0.0181045	0.00238556	0.00329534	0.00319303	0.00215952	0.00522422	0.195455	0.401829	0.104689	0.00929277	0.288734	1.29603e-07	0.17692	0.531976	1.02767	2.26343	0.235027	0.378588	0.105154	0.281231	0.4113784	5.29406
50	-14489.1	-14455.6	-33.4652	0.9729964	0.233189	0.318955	0.219795	0.424339	0.412106	0.36357	0.395656	0.393529	0.495446	0.254939	0.141994	0.185207	0.260698	0.096047	0.256046	0.258303	0.251571	0.213115	0.220776	0.173578	0.187512	0.158975	0.318927	0.0553843	0.00314644	0.0117529	0.0917507	0.00212356	0.00728598	0.00104343	0.0103816	0.0276336	0.00919142	0.0363619	0.126044	0.00311024	0.00773979	0.0105513	0.00211296	0.00153955	0.00303185	0.00252393	0.00430304	0.169263	0.399118	0.0609776	0.0080475	0.362593	7.86443e-07	0.131535	0.468482	0.995377	2.40461	0.243373	0.392031	0.0941395	0.270456	0.4113784	6.651285
60	-14459.8	-14414	-45.8704	0.960668	0.295335	0.511181	0.283993	0.468111	0.407568	0.424417	0.496898	0.496328	0.448499	0.322983	0.164868	0.185207	0.26643	0.161555	0.285101	0.272434	0.293168	0.239865	0.309549	0.181718	0.193947	0.181972	0.423921	0.0482401	0.00430027	0.0111603	0.0683316	0.00428024	0.0127092	0.00165269	0.0174531	0.0603161	0.00752158	0.0515329	0.211153	0.0103796	0.0336454	0.0125315	0.000339827	0.00214566	0.00622917	0.00796401	0.0048711	0.150261	0.337334	0.0506235	0.00453569	0.457244	1.05339e-06	0.129041	0.464602	0.993164	2.41319	0.275351	0.359323	0.0943281	0.270998	0.4113784	7.891806
70	-14453.2	-14399.5	-53.653	0.856142	0.377289	0.379016	0.328083	0.490566	0.50648	0.505606	0.477312	0.639461	0.3869	0.492621	0.239364	0.232598	0.26643	0.141229	0.300996	0.338188	0.294416	0.301754	0.316261	0.260335	0.259119	0.201132	0.358116	0.0390525	0.00397885	0.0130281	0.0979855	0.00132722	0.0264116	0.0021883	0.0116023	0.0441031	0.0317049	0.0298023	0.209316	0.00431402	0.0265805	0.017566	0.000837619	0.00292809	0.00304766	0.00952694	0.00149161	0.12165	0.278867	0.0517065	0.0201177	0.527658	3.70371e-07	0.107437	0.428792	0.971375	2.4924	0.277293	0.361858	0.0879393	0.27291	0.3805665	8.670066
80	-14447.5	-14375	-72.4782	0.6065289	0.359905	0.503821	0.268466	0.567468	0.620648	0.549724	0.711916	0.648772	0.815517	0.486955	0.239364	0.296761	0.309824	0.241231	0.347561	0.406104	0.334298	0.327259	0.325717	0.37952	0.250217	0.242608	0.489842	0.0400962	0.00679119	0.0255561	0.111827	0.00376542	0.0258966	0.00545346	0.0240079	0.0553986	0.0401981	0.0598801	0.338645	0.00218001	0.00140304	0.0448261	0.000722742	0.00409843	0.00884436	0.024095	0.00540275	0.0927283	0.26753	0.0496043	0.0251301	0.565007	5.17079e-07	0.0544574	0.315882	0.884614	2.74505	0.270899	0.379561	0.0829229	0.266617	0.3805665	10.55259
90	-14417.8	-14347.1	-70.7025	0.7414948	0.354081	0.64134	0.337178	0.497919	0.650445	0.587603	0.597816	0.723985	0.718023	0.403332	0.283958	0.271772	0.402877	0.256206	0.367402	0.350964	0.376125	0.266463	0.313262	0.269846	0.170172	0.197724	0.489842	0.0330495	0.00604398	0.0250039	0.122103	0.0134772	0.0345347	0.00136983	0.0169491	0.0744926	0.0381753	0.0499294	0.378501	0.00153579	0.00396475	0.0129833	0.000526079	0.00202711	0.00691002	0.0160522	0.00904524	0.0922452	0.266136	0.0493459	0.0302094	0.562063	5.74295e-07	0.0830645	0.382468	0.939325	2.59514	0.339937	0.34362	0.075071	0.241371	0.4028285	10.37501
