Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-25732.5	-25720.4	-12.0871	1	0.0635415	0.0353267	0.124315	0.243379	0.237257	0.0832577	0.282325	0.0459365	0.223317	0.278416	0.0355396	0.0528659	0.0435639	0.521648	0.238855	0.0821131	0.359849	0.0538316	0.083215	0.0382948	0.023794	0.165121	0.0258567	0.00684593	0.0329251	0.0545652	0.018759	0.00527214	0.0651926	0.00490774	0.0485134	0.0816072	0.0320837	0.000656748	0.275682	0.127298	0.100846	0.0153056	0.0725524	0.0550484	0.0991964	0.0147346	0.0598607	0.377954	0.0586652	0.152378	0.112419	0.0892307	0.209353	0.136954	0.476752	1	2.38629	0.0256336	0.0100465	0.860435	0.103885	4.513472
10	-16196.6	-16186	-10.6053	0.3313243	0.146071	0.203189	0.292497	0.201438	0.191915	0.188124	0.259178	0.112248	0.272349	0.218941	0.125171	0.140501	0.156342	0.173917	0.187744	0.124045	0.186049	0.101179	0.182974	0.122999	0.0341145	0.119589	0.0362657	0.0100079	0.035901	0.00593576	0.047743	0.0306518	0.0187514	0.00791805	0.00592854	0.0187573	0.00612423	0.00165767	0.177767	0.0672794	0.0178157	0.011585	0.0448211	0.0148154	0.036396	0.0171261	0.0114709	0.206356	0.000153549	0.13498	0.00834303	0.464718	0.185449	0.008177	0.128981	0.644845	3.218	0.298691	0.159581	0.242431	0.299298	4.365294
20	-15439.5	-15415.7	-23.7953	0.2821442	0.372462	0.220224	0.348817	0.257735	0.300081	0.295908	0.308568	0.125569	0.347993	0.226128	0.183148	0.18586	0.175459	0.176158	0.239348	0.181383	0.18983	0.177001	0.161923	0.102192	0.237228	0.0794818	0.387168	0.00937909	0.0203379	0.00209197	0.0784223	0.0483594	0.0216454	0.0170651	0.00509286	0.00999285	0.00258983	0.00187252	0.0843361	0.0325154	0.00423729	0.00656646	0.0134069	0.00999549	0.0104365	0.0060275	0.0202649	0.0550189	0.000466294	0.329753	0.00255691	0.368244	0.24396	0.00395892	0.0906978	0.564561	3.34078	0.220442	0.371289	0.17892	0.22935	5.6843
30	-14945.8	-14898.7	-47.1717	0.26861	0.517394	0.395391	0.504316	0.419073	0.489741	0.391659	0.365496	0.200865	0.517522	0.309158	0.169843	0.231458	0.282618	0.324049	0.346898	0.332798	0.333805	0.229027	0.231487	0.146196	0.281806	0.122985	0.387168	0.0529865	0.0125154	0.00103692	0.110138	0.0950804	0.00901547	0.036912	0.0046471	0.00867496	0.00360414	0.00123573	0.0379807	0.0336877	0.00585	0.0033794	0.0207713	0.00695198	0.026429	0.00157942	0.018705	0.0191205	0.0147472	0.175249	0.00105786	0.596319	0.193506	0.00309481	0.0804213	0.539124	3.37736	0.293665	0.336414	0.162114	0.207807	8.021934
40	-14585.6	-14517	-68.5562	0.2652106	0.643492	0.417611	0.564698	0.533085	0.717692	0.504927	0.632476	0.703322	0.552054	0.41655	0.288907	0.302694	0.336993	0.2837	0.387097	0.386522	0.318207	0.191482	0.258524	0.191932	0.231898	0.0949916	0.654105	0.0817438	0.0102792	0.00168758	0.125905	0.0604581	0.0132139	0.0271192	0.000882857	0.0116127	0.0248208	0.00232826	0.0457691	0.0540764	0.00741215	0.00743794	0.0317114	0.00454583	0.0196682	0.00416754	0.012578	0.0296501	0.285287	0.0639154	0.000221229	0.514401	0.106525	0.00289771	0.0778739	0.532484	3.38674	0.42523	0.302635	0.119261	0.152875	10.16038
50	-14435.3	-14326.9	-108.378	0.2656812	0.819801	0.727338	0.801318	0.683591	0.722963	0.818572	1.04927	0.989056	1.00998	0.610943	0.389656	0.439797	0.413304	0.406616	0.450287	0.484012	0.426069	0.377281	0.284084	0.171875	0.401893	0.105863	0.709805	0.193901	0.00875604	0.00221642	0.187054	0.0805648	0.00513425	0.0333819	0.00206	0.00856012	0.0433005	0.000738497	0.0409162	0.0762294	0.00921227	0.0201122	0.0478853	0.0109126	0.0530299	0.0102505	0.0150186	0.0304486	0.135179	0.0582881	0.00101855	0.67792	0.0971463	0.00292452	0.0782256	0.533409	3.38544	0.419456	0.298525	0.0903294	0.19169	14.14261
60	-14370.9	-14267.1	-103.791	0.2646902	0.76031	0.653108	0.764245	0.595159	0.784492	0.771321	1.00174	1.09741	0.872369	0.551829	0.327516	0.369441	0.413304	0.414418	0.45615	0.549769	0.447614	0.356589	0.361266	0.223871	0.268305	0.127535	0.750209	0.0969283	0.011239	0.00153383	0.168683	0.0784702	0.0193864	0.0348952	0.00169428	0.0347521	0.00760565	0.00069626	0.0767431	0.0771231	0.0258067	0.0102791	0.0194406	0.0171481	0.0521992	0.0113219	0.019985	0.033246	0.13086	0.0640657	0.00469669	0.740203	0.0269289	0.00286824	0.0774853	0.531458	3.38819	0.381289	0.318151	0.0962679	0.204292	13.6839
70	-14369.3	-14268.5	-100.802	0.2533873	0.997772	0.500536	0.759811	0.691151	0.647342	0.745367	0.913848	1.11966	0.840363	0.542834	0.256439	0.443522	0.406284	0.401994	0.501232	0.492676	0.420971	0.331439	0.297397	0.276555	0.318749	0.164121	0.714031	0.0530391	0.00630061	0.00452815	0.139237	0.125868	0.00704199	0.0190346	0.00667061	0.0177717	0.0162541	0.000701819	0.0802203	0.0224425	0.0114631	0.00378175	0.0205374	0.0137712	0.0257854	0.00808899	0.0183378	0.0338218	0.117594	0.0651752	0.0197887	0.753022	0.0105988	0.0022734	0.0691469	0.508575	3.42	0.37214	0.334511	0.093958	0.199391	13.38498
80	-14364	-14259.2	-104.789	0.2325568	0.84393	0.553395	0.809523	0.749624	0.700119	0.862153	0.806234	0.895698	0.876158	0.527419	0.307956	0.481241	0.445898	0.422705	0.486641	0.627411	0.450766	0.315592	0.288865	0.273585	0.348375	0.197647	0.772649	0.0946048	0.00266249	0.00749478	0.194944	0.0950086	0.0109528	0.0428718	0.0100825	0.0204098	0.0289303	0.000824896	0.0699719	0.0135614	0.00442724	0.0133736	0.0192937	0.0142803	0.0315916	0.0149655	0.0498011	0.0339383	0.117999	0.0653998	0.0151876	0.755617	0.0118584	0.001396	0.0544148	0.463229	3.48096	0.366309	0.344939	0.0924858	0.196266	13.78364
90	-14356.8	-14243.4	-113.411	0.236226	0.898476	0.558068	0.899439	0.731472	0.798626	0.862153	0.859774	0.904508	0.897432	0.542115	0.389691	0.515791	0.487529	0.437722	0.536676	0.539095	0.537864	0.375032	0.364762	0.292029	0.429042	0.13471	0.896807	0.131932	0.00759031	0.00375177	0.184182	0.0843267	0.0222443	0.0336695	0.0149926	0.0284949	0.0197903	0.00118459	0.089358	0.00918372	0.0179967	0.0179529	0.00966022	0.0130362	0.0227754	0.0109405	0.033946	0.0339862	0.118165	0.0654921	0.0130629	0.756683	0.0126103	0.00153076	0.056939	0.471524	3.47001	0.366162	0.344801	0.0928488	0.196188	14.64582
