Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-21595.4	-21609.6	14.1988	0.115817	0.0145106	0.0406289	0.029817	0.0482766	0.0583538	0.00919564	0.175521	0.228444	0.0263088	0.190943	0.0292457	0.401177	0.23317	0.0178351	0.0114472	0.111525	0.0717361	0.150684	0.0202275	0.150759	0.0327363	0.00149061	0.0659636	0.0664697	0.0364605	0.079474	0.0418917	0.00331985	0.0471249	0.0721885	0.0055954	0.00693575	0.00269316	0.00815409	0.0131366	0.00427136	0.19385	0.0102697	0.0755404	0.0640248	0.0264921	0.195135	0.6643679	0.348071	0.0934134	0.31562	0.242896	3.188842
10	-17573	-17574.7	1.72537	0.230873	0.207948	0.232413	0.0541706	0.220066	0.167951	0.0964775	0.256384	0.227927	0.166405	0.172612	0.0876378	0.111007	0.148055	0.0385213	0.0406298	0.150654	0.188334	0.140652	0.112999	0.114245	0.114576	0.00301301	0.0225225	0.0521512	0.0207699	0.05018	0.0478884	0.00461045	0.12793	0.0417118	0.0327677	0.0352199	0.00497474	0.00899493	0.0391264	0.0210047	0.0828312	0.00211542	0.0656994	0.128114	0.0353898	0.147427	2.70026	0.262084	0.3589	0.0588353	0.320181	4.254981
20	-17140.6	-17143.3	2.75896	0.189027	0.176133	0.196355	0.0865369	0.176931	0.229083	0.174795	0.228539	0.188948	0.166203	0.1107	0.120091	0.111007	0.160687	0.160469	0.157615	0.185958	0.131342	0.141418	0.163759	0.11119	0.109533	0.0227933	0.0119502	0.0397155	0.0113189	0.0250558	0.0220321	0.00979362	0.109912	0.0367482	0.015428	0.0327739	0.0137725	0.00428967	0.0223788	0.0356829	0.0240601	0.0137808	0.044884	0.0777175	0.0323657	0.0767273	2.594595	0.272551	0.338906	0.095149	0.293394	4.159499
30	-16883.5	-16886.3	2.74995	0.189027	0.203124	0.173505	0.165618	0.172598	0.176822	0.187967	0.217796	0.142484	0.184457	0.12449	0.0935726	0.139699	0.1459	0.17672	0.148238	0.162141	0.180035	0.144081	0.136518	0.140608	0.123104	0.124208	0.0143796	0.0349901	0.0241226	0.0197652	0.0101099	0.0269099	0.0295897	0.0290765	0.0203001	0.0804456	0.0100244	0.0033344	0.0233609	0.0251278	0.0209552	0.0052457	0.0157466	0.0783704	0.0172642	0.0195639	2.581402	0.257222	0.319845	0.0897976	0.333135	4.161395
40	-16854.7	-16855.3	0.589081	0.198657	0.195262	0.175642	0.174316	0.165257	0.212234	0.163642	0.20776	0.185475	0.216248	0.138675	0.139354	0.120479	0.126624	0.186977	0.148238	0.162141	0.16649	0.176974	0.157846	0.135079	0.153443	0.194292	0.00800953	0.0498186	0.0239639	0.0281824	0.00828225	0.0218115	0.0160719	0.0332991	0.0194829	0.0751682	0.00358777	0.00856782	0.0185088	0.0288234	0.0221873	0.00583637	0.0121936	0.0586874	0.0246512	0.00536779	2.632997	0.257787	0.31835	0.0899949	0.333867	4.373607
50	-16860.2	-16862.4	2.17339	0.142817	0.200309	0.212074	0.167882	0.189197	0.193008	0.151724	0.226784	0.160998	0.175494	0.134007	0.0956642	0.114928	0.129484	0.136178	0.186745	0.182151	0.164354	0.189035	0.177835	0.134278	0.117661	0.175423	0.0203768	0.0475198	0.0182335	0.0310474	0.00908583	0.0190899	0.00628558	0.0395967	0.0122057	0.079831	0.00150665	0.00414132	0.0227918	0.0235318	0.0128484	0.00184874	0.0199102	0.0505877	0.0347992	0.00756999	2.55775	0.295108	0.302343	0.0854696	0.317079	4.22084
60	-16857.7	-16859.6	1.8395	0.2143	0.175913	0.158435	0.161581	0.192649	0.179969	0.187007	0.226784	0.162822	0.171746	0.130395	0.13736	0.0717429	0.145231	0.14018	0.124376	0.170572	0.159429	0.18027	0.188555	0.133186	0.144389	0.209367	0.0204662	0.0439835	0.0162174	0.01348	0.0109508	0.0251199	0.0056616	0.0425384	0.0147968	0.0732202	0.00590055	0.00618717	0.0220144	0.0358958	0.00464862	0.000642638	0.0126237	0.081139	0.0184346	0.010743	2.874268	0.294348	0.301564	0.087826	0.316262	4.230924
70	-16850.3	-16851.3	0.966215	0.173379	0.194811	0.194478	0.155802	0.166991	0.226025	0.170502	0.226784	0.191064	0.190577	0.130395	0.0961063	0.131332	0.157041	0.158624	0.145637	0.19472	0.125701	0.151999	0.184098	0.16417	0.14174	0.19841	0.00764833	0.0432594	0.0178023	0.0128099	0.0213137	0.0176274	0.00102	0.0393991	0.0210892	0.0572725	0.00415896	0.00165916	0.0238556	0.0317898	0.0151645	0.000529156	0.0190484	0.0727904	0.036872	0.00879389	2.790506	0.294348	0.301564	0.087826	0.316262	4.32429
80	-16854.7	-16856.4	1.68132	0.198876	0.188042	0.168522	0.189934	0.216096	0.202804	0.163423	0.222248	0.150881	0.136891	0.115085	0.0960745	0.0977366	0.142918	0.156053	0.164277	0.186474	0.153015	0.197559	0.164319	0.134416	0.137111	0.19841	0.0127856	0.0518692	0.0297318	0.0265318	0.0120661	0.0109209	0.00118499	0.0367435	0.0138712	0.0847741	0.00184705	0.0027848	0.0224342	0.0352844	0.00917141	0.000195883	0.0103172	0.0750496	0.0260599	0.00799155	2.790506	0.293905	0.30111	0.0891997	0.315786	4.252779
90	-16853.1	-16854.5	1.37824	0.217518	0.196414	0.168522	0.16759	0.167535	0.202804	0.16975	0.226054	0.141198	0.172098	0.11693	0.106709	0.115297	0.149726	0.164287	0.151423	0.186474	0.206241	0.154511	0.150577	0.154006	0.137111	0.167772	0.0205393	0.0477376	0.0175053	0.0163735	0.0179876	0.0202482	0.00107689	0.0432042	0.00806734	0.0911817	0.000927491	0.00036256	0.0235644	0.0292153	0.0131909	0.000451499	0.010489	0.0731	0.0432489	0.014921	2.778777	0.293905	0.30111	0.0891997	0.315786	4.28394
