Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
0	-19990.2	-20004	13.7193	0.177916	0.00166922	0.0287232	0.00368852	0.103045	0.0428991	0.049389	0.0197415	0.0427179	0.0277449	0.0235477	0.0335441	0.0320414	0.016934	0.102995	0.218196	0.0504894	0.0367572	0.180869	0.00492218	0.0726028	0.119666	0.0527925	0.0413924	0.199886	0.0701662	0.185161	0.0398725	0.0025476	0.0647391	0.0776424	0.122362	0.101436	0.0492609	0.0366443	0.0397319	0.267552	0.0708702	0.040366	0.0289576	0.162472	0.0409832	0.0320467	3.116979
10	-16579.5	-16591.1	11.635	0.244061	0.0156447	0.0492257	0.00819017	0.211743	0.0946659	0.0688902	0.0370594	0.108264	0.110394	0.112981	0.0918829	0.0920513	0.0333224	0.128289	0.166563	0.106396	0.123711	0.153114	0.0242965	0.0819661	0.0999277	0.144049	0.0551401	0.167371	0.07482	0.098175	0.0404338	0.0162687	0.0450345	0.0634068	0.0713698	0.0316482	0.0284883	0.0305681	0.0269874	0.0557114	0.0116747	0.0337558	0.0519208	0.0655216	0.0301613	0.020266	3.325411
20	-15902.7	-15915.7	12.998	0.154886	0.0311453	0.049422	0.0566926	0.121543	0.0707455	0.111638	0.0700884	0.104782	0.20229	0.0676748	0.0747342	0.0988812	0.0846753	0.118259	0.159158	0.10397	0.0991651	0.138051	0.0903025	0.104229	0.0952306	0.184407	0.0330395	0.0504005	0.0502051	0.0512147	0.0295699	0.0407708	0.0266111	0.0435394	0.0393757	0.0202515	0.030052	0.034664	0.116091	0.0201272	0.0116694	0.0491117	0.0702992	0.0205177	0.0173955	0.0422332	3.189108
30	-15816.4	-15828.9	12.5126	0.139495	0.0790514	0.0990772	0.104184	0.101189	0.0723311	0.119334	0.0897386	0.103307	0.153183	0.0905503	0.0833315	0.10667	0.0867417	0.118641	0.105506	0.12736	0.127725	0.113904	0.0636859	0.0825455	0.109886	0.158954	0.0403201	0.0275397	0.0221153	0.0307882	0.0492983	0.0337563	0.0199692	0.0216217	0.0434094	0.023372	0.0297069	0.0310934	0.10252	0.0566709	0.0251284	0.0504254	0.0747153	0.0248653	0.0240255	0.0699126	3.237647
40	-15818.5	-15831.4	12.9067	0.139495	0.106847	0.113209	0.0920658	0.130029	0.0894158	0.135966	0.0937988	0.085687	0.149236	0.062034	0.0749321	0.0984597	0.0875604	0.0993425	0.111349	0.152088	0.130471	0.122714	0.0841313	0.116256	0.0650402	0.146554	0.0327842	0.019994	0.0146048	0.0403711	0.0596512	0.0382223	0.0153241	0.0407245	0.0440983	0.0306858	0.0338025	0.0376424	0.0706742	0.0674397	0.0212182	0.0320792	0.0362182	0.00569745	0.0192937	0.0510262	3.198235
50	-15803.4	-15816.6	13.2124	0.133141	0.0861994	0.106347	0.109682	0.120034	0.0680218	0.11695	0.0731236	0.118075	0.172697	0.0692717	0.0997995	0.0984597	0.0945966	0.103845	0.106854	0.128175	0.105136	0.111011	0.0785501	0.0871841	0.0718363	0.158603	0.0247271	0.0426996	0.0233974	0.0242603	0.0510096	0.0320311	0.0243166	0.0308789	0.0306131	0.0200345	0.0342599	0.0376372	0.103411	0.0483987	0.0275011	0.0510219	0.0442163	0.006734	0.0267456	0.0661861	3.167673
60	-15803.9	-15816.4	12.5313	0.125174	0.0967255	0.11056	0.0970236	0.108333	0.0680218	0.143456	0.0769459	0.0942952	0.166948	0.0768844	0.0852217	0.100561	0.0878506	0.128225	0.122753	0.12669	0.0926022	0.115922	0.0925694	0.0931774	0.0820624	0.202321	0.0337779	0.0382621	0.0212587	0.0366146	0.0612556	0.021158	0.0246936	0.0243297	0.028612	0.0313437	0.0356788	0.0362493	0.0737797	0.0560971	0.0225519	0.0525828	0.0492733	0.0180842	0.0222687	0.0535858	3.235782
70	-15804.9	-15818.7	13.7814	0.14462	0.0918486	0.10508	0.102037	0.105874	0.0974396	0.109937	0.0726643	0.0978221	0.16146	0.0768844	0.0852217	0.0767992	0.0799689	0.0947898	0.109648	0.109751	0.102752	0.126389	0.0743961	0.0887377	0.0748457	0.157615	0.0318818	0.0281394	0.0255834	0.0317454	0.0408406	0.0328095	0.0285797	0.0372636	0.0404827	0.0321924	0.0211848	0.0244802	0.0895042	0.062225	0.0135186	0.0588467	0.0511926	0.0207211	0.0373731	0.0556257	3.110772
80	-15803.1	-15817.1	13.9223	0.120918	0.0976888	0.0983438	0.0773674	0.0978212	0.0764669	0.112743	0.0663668	0.0978221	0.14843	0.0760421	0.0953037	0.108187	0.0788587	0.118932	0.091051	0.103817	0.104817	0.131359	0.0743587	0.0894246	0.0944045	0.157481	0.0357582	0.033009	0.0219303	0.0247683	0.0587717	0.0262946	0.0379018	0.0429149	0.0423046	0.0374904	0.0322325	0.0271701	0.0865598	0.043379	0.0319504	0.0471744	0.055429	0.0191988	0.0228985	0.0515401	3.096682
90	-15816.8	-15829	12.2051	0.16595	0.117856	0.112236	0.0825925	0.102586	0.0757864	0.113001	0.0645816	0.101462	0.16379	0.0868986	0.0784317	0.0819858	0.0756959	0.127502	0.116433	0.125033	0.141503	0.112092	0.0621698	0.079687	0.0888485	0.152815	0.0407248	0.0217018	0.0377559	0.0387729	0.0723892	0.0275174	0.02486	0.0371329	0.0343704	0.0522141	0.0444349	0.041104	0.076707	0.0386732	0.0242237	0.0623836	0.051763	0.0136179	0.0312683	0.0678499	3.268401
